reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v1 1 games, 715 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 2.989, 0.320 sec/game, 0.0 min. total, 312.4 MB
reflux_snowflake v1 2 games, 1498 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 3.168, 0.321 sec/game, 0.0 min. total, 314.5 MB
reflux_snowflake v1 3 games, 2275 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 3.491, 0.327 sec/game, 0.0 min. total, 316.7 MB
reflux_snowflake v1 4 games, 3108 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 3.382, 0.357 sec/game, 0.0 min. total, 318.4 MB
reflux_snowflake v1 5 games, 3773 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 3.441, 0.341 sec/game, 0.0 min. total, 320.9 MB
reflux_snowflake v1 6 games, 4465 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 3.374, 0.336 sec/game, 0.0 min. total, 323.1 MB
reflux_snowflake v1 7 games, 5136 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 3.447, 0.339 sec/game, 0.0 min. total, 325.4 MB
reflux_snowflake v1 8 games, 5864 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 3.352, 0.340 sec/game, 0.0 min. total, 327.6 MB
reflux_snowflake v1 9 games, 6452 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 3.402, 0.332 sec/game, 0.0 min. total, 328.6 MB
reflux_snowflake v1 10 games, 7213 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 3.422, 0.333 sec/game, 0.1 min. total, 330.2 MB
reflux_snowflake v1 11 games, 7954 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 3.490, 0.333 sec/game, 0.1 min. total, 332.0 MB
reflux_snowflake v1 12 games, 8682 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 3.464, 0.332 sec/game, 0.1 min. total, 334.1 MB
reflux_snowflake v2 13 games, 9334 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 3.482, 0.326 sec/game, 0.1 min. total, 398.1 MB
reflux_snowflake v2 14 games, 10007 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 3.544, 0.322 sec/game, 0.1 min. total, 400.2 MB
reflux_snowflake v2 15 games, 10689 moves, e=0.989, loss: 23.3, +, 58.5% elo% vs. guard_bot, avg. reward: 3.499, 0.398 sec/game, 0.1 min. total, 416.4 MB
reflux_snowflake v2 16 games, 11355 moves, e=0.989, loss: 22.7, ., 58.1% elo% vs. guard_bot, avg. reward: 3.477, 0.443 sec/game, 0.1 min. total, 419.2 MB
reflux_snowflake v2 17 games, 11969 moves, e=0.988, loss: 22.4, ., 57.8% elo% vs. guard_bot, avg. reward: 3.478, 0.490 sec/game, 0.1 min. total, 420.4 MB
reflux_snowflake v2 18 games, 12651 moves, e=0.987, loss: 22.3, ., 57.4% elo% vs. guard_bot, avg. reward: 3.546, 0.544 sec/game, 0.2 min. total, 420.9 MB
reflux_snowflake v2 19 games, 13326 moves, e=0.987, loss: 23.1, ., 57.1% elo% vs. guard_bot, avg. reward: 3.565, 0.587 sec/game, 0.2 min. total, 421.0 MB
reflux_snowflake v2 20 games, 14063 moves, e=0.986, loss: 23.7, ., 56.8% elo% vs. guard_bot, avg. reward: 3.567, 0.621 sec/game, 0.2 min. total, 421.0 MB
reflux_snowflake v2 21 games, 14840 moves, e=0.985, loss: 23.9, ., 56.5% elo% vs. guard_bot, avg. reward: 3.561, 0.685 sec/game, 0.2 min. total, 421.4 MB
reflux_snowflake v2 22 games, 15520 moves, e=0.985, loss: 23.5, ., 56.2% elo% vs. guard_bot, avg. reward: 3.583, 0.751 sec/game, 0.3 min. total, 421.3 MB
reflux_snowflake v2 23 games, 16178 moves, e=0.984, loss: 23.8, ., 55.9% elo% vs. guard_bot, avg. reward: 3.598, 0.806 sec/game, 0.3 min. total, 421.8 MB
