remix_overdress v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 317.8 MB
remix_overdress v1 1 games, 609 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.535, 0.188 sec/game, 0.0 min. total, 317.0 MB
remix_overdress v1 2 games, 1335 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.682, 0.200 sec/game, 0.0 min. total, 320.2 MB
remix_overdress v1 3 games, 2019 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.523, 0.223 sec/game, 0.0 min. total, 323.9 MB
remix_overdress v1 4 games, 2618 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.917, 0.209 sec/game, 0.0 min. total, 327.2 MB
remix_overdress v1 5 games, 3241 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.115, 0.201 sec/game, 0.0 min. total, 329.9 MB
remix_overdress v1 6 games, 3920 moves, e=0.996, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.049, 0.216 sec/game, 0.0 min. total, 333.2 MB
remix_overdress v1 7 games, 4557 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.029, 0.211 sec/game, 0.0 min. total, 337.1 MB
remix_overdress v1 8 games, 5177 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.113, 0.206 sec/game, 0.0 min. total, 340.6 MB
remix_overdress v1 9 games, 5926 moves, e=0.994, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.937, 0.206 sec/game, 0.0 min. total, 343.8 MB
remix_overdress v1 10 games, 6713 moves, e=0.993, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.766, 0.208 sec/game, 0.0 min. total, 348.2 MB
remix_overdress v1 11 games, 7373 moves, e=0.993, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.774, 0.207 sec/game, 0.0 min. total, 351.8 MB
remix_overdress v1 12 games, 8153 moves, e=0.992, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.626, 0.209 sec/game, 0.0 min. total, 354.9 MB
remix_overdress v1 13 games, 8899 moves, e=0.991, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.571, 0.210 sec/game, 0.0 min. total, 359.3 MB
remix_overdress v1 14 games, 9571 moves, e=0.991, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.565, 0.208 sec/game, 0.0 min. total, 363.0 MB
remix_overdress v1 15 games, 10268 moves, e=0.990, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.541, 0.208 sec/game, 0.1 min. total, 366.5 MB
remix_overdress v1 16 games, 10939 moves, e=0.989, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.553, 0.207 sec/game, 0.1 min. total, 369.7 MB
remix_overdress v1 17 games, 11624 moves, e=0.988, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.550, 0.217 sec/game, 0.1 min. total, 373.4 MB
remix_overdress v1 18 games, 12375 moves, e=0.988, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.504, 0.217 sec/game, 0.1 min. total, 377.4 MB
remix_overdress v1 19 games, 12970 moves, e=0.987, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.599, 0.216 sec/game, 0.1 min. total, 380.0 MB
remix_overdress v1 20 games, 13641 moves, e=0.986, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.611, 0.215 sec/game, 0.1 min. total, 383.4 MB
remix_overdress v1 21 games, 14277 moves, e=0.986, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.635, 0.217 sec/game, 0.1 min. total, 387.2 MB
