sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v1 1 games, 785 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 26.438, 0.345 sec/game, 0.0 min. total, 312.9 MB
sanding_take v1 2 games, 1516 moves, e=0.998, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 26.185, 0.383 sec/game, 0.0 min. total, 315.0 MB
sanding_take v1 3 games, 2298 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 25.989, 0.382 sec/game, 0.0 min. total, 316.4 MB
sanding_take v1 4 games, 2976 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 26.177, 0.361 sec/game, 0.0 min. total, 318.2 MB
sanding_take v1 5 games, 3644 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 26.261, 0.347 sec/game, 0.0 min. total, 320.6 MB
sanding_take v1 6 games, 4364 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 26.211, 0.342 sec/game, 0.0 min. total, 323.0 MB
sanding_take v1 7 games, 5099 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 26.194, 0.360 sec/game, 0.0 min. total, 325.4 MB
sanding_take v1 8 games, 5713 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 25.953, 0.349 sec/game, 0.0 min. total, 327.3 MB
sanding_take v1 9 games, 6434 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 25.920, 0.345 sec/game, 0.1 min. total, 329.3 MB
sanding_take v1 10 games, 7224 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 26.075, 0.345 sec/game, 0.1 min. total, 331.3 MB
sanding_take v1 11 games, 7958 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 26.161, 0.343 sec/game, 0.1 min. total, 332.3 MB
sanding_take v1 12 games, 8612 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 26.132, 0.343 sec/game, 0.1 min. total, 333.3 MB
sanding_take v2 13 games, 9292 moves, e=0.991, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: 26.225, 0.340 sec/game, 0.1 min. total, 395.9 MB
sanding_take v2 14 games, 10050 moves, e=0.990, loss: nan, ., 52.1% elo% vs. guard_bot, avg. reward: 26.255, 0.338 sec/game, 0.1 min. total, 398.3 MB
sanding_take v2 15 games, 10817 moves, e=0.989, loss: 118.5, ., 52.0% elo% vs. guard_bot, avg. reward: 26.276, 0.445 sec/game, 0.1 min. total, 414.8 MB
sanding_take v2 16 games, 11538 moves, e=0.989, loss: 124.1, ., 51.9% elo% vs. guard_bot, avg. reward: 26.265, 0.509 sec/game, 0.1 min. total, 418.1 MB
sanding_take v2 17 games, 12254 moves, e=0.988, loss: 132.4, ., 51.8% elo% vs. guard_bot, avg. reward: 26.180, 0.567 sec/game, 0.2 min. total, 420.3 MB
sanding_take v2 18 games, 12900 moves, e=0.987, loss: 137.4, ., 51.7% elo% vs. guard_bot, avg. reward: 26.150, 0.616 sec/game, 0.2 min. total, 420.4 MB
sanding_take v2 19 games, 13768 moves, e=0.986, loss: 145.4, ., 51.7% elo% vs. guard_bot, avg. reward: 26.135, 0.675 sec/game, 0.2 min. total, 420.3 MB
sanding_take v2 20 games, 14503 moves, e=0.986, loss: 156.2, ., 51.6% elo% vs. guard_bot, avg. reward: 26.106, 0.713 sec/game, 0.2 min. total, 420.6 MB
sanding_take v2 21 games, 15210 moves, e=0.985, loss: 165.7, ., 51.5% elo% vs. guard_bot, avg. reward: 26.133, 0.760 sec/game, 0.3 min. total, 420.7 MB
sanding_take v2 22 games, 15850 moves, e=0.984, loss: 173.1, ., 51.4% elo% vs. guard_bot, avg. reward: 26.109, 0.803 sec/game, 0.3 min. total, 420.8 MB
sanding_take v2 23 games, 16529 moves, e=0.984, loss: 186.9, ., 51.4% elo% vs. guard_bot, avg. reward: 26.163, 0.851 sec/game, 0.3 min. total, 421.0 MB
sanding_take v2 24 games, 17331 moves, e=0.983, loss: 203.3, ., 51.3% elo% vs. guard_bot, avg. reward: 26.161, 0.905 sec/game, 0.3 min. total, 421.2 MB
sanding_take v2 25 games, 18116 moves, e=0.982, loss: 210.7, ., 51.2% elo% vs. guard_bot, avg. reward: 26.205, 0.971 sec/game, 0.4 min. total, 421.4 MB
sanding_take v2 26 games, 18756 moves, e=0.981, loss: 220.9, ., 51.2% elo% vs. guard_bot, avg. reward: 26.225, 1.014 sec/game, 0.4 min. total, 421.4 MB
sanding_take v2 27 games, 19528 moves, e=0.981, loss: 235.1, ., 51.1% elo% vs. guard_bot, avg. reward: 26.235, 1.060 sec/game, 0.4 min. total, 421.5 MB
sanding_take v2 28 games, 20253 moves, e=0.980, loss: 239.6, ., 51.1% elo% vs. guard_bot, avg. reward: 26.260, 1.112 sec/game, 0.4 min. total, 422.2 MB
sanding_take v2 29 games, 20959 moves, e=0.979, loss: 254.7, ., 51.0% elo% vs. guard_bot, avg. reward: 26.272, 1.162 sec/game, 0.4 min. total, 422.8 MB
sanding_take v2 30 games, 21586 moves, e=0.979, loss: 258.6, ., 51.0% elo% vs. guard_bot, avg. reward: 26.227, 1.227 sec/game, 0.5 min. total, 424.3 MB
sanding_take v2 31 games, 22376 moves, e=0.978, loss: 309.1, ., 50.9% elo% vs. guard_bot, avg. reward: 26.197, 1.283 sec/game, 0.5 min. total, 425.6 MB
