scarecrow_goal v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.4 MB
scarecrow_goal v1 1 games, 696 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.056, 0.247 sec/game, 0.0 min. total, 315.8 MB
scarecrow_goal v1 2 games, 1454 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.618, 0.255 sec/game, 0.0 min. total, 317.4 MB
scarecrow_goal v1 3 games, 2204 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.410, 0.260 sec/game, 0.0 min. total, 320.0 MB
scarecrow_goal v1 4 games, 2851 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.738, 0.248 sec/game, 0.0 min. total, 322.3 MB
scarecrow_goal v1 5 games, 3422 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.328, 0.240 sec/game, 0.0 min. total, 324.8 MB
scarecrow_goal v1 6 games, 4078 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.386, 0.235 sec/game, 0.0 min. total, 329.1 MB
scarecrow_goal v1 7 games, 4831 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.280, 0.247 sec/game, 0.0 min. total, 331.8 MB
scarecrow_goal v1 8 games, 5572 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.161, 0.246 sec/game, 0.0 min. total, 335.7 MB
scarecrow_goal v1 9 games, 6280 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.138, 0.244 sec/game, 0.0 min. total, 338.9 MB
scarecrow_goal v1 10 games, 7038 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.031, 0.246 sec/game, 0.0 min. total, 342.4 MB
scarecrow_goal v1 11 games, 7731 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.036, 0.244 sec/game, 0.0 min. total, 345.2 MB
scarecrow_goal v1 12 games, 8392 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.076, 0.241 sec/game, 0.0 min. total, 348.0 MB
scarecrow_goal v1 13 games, 9117 moves, e=0.991, loss: nan, +, 71.6% elo% vs. random_bot, avg. reward: -10.041, 0.240 sec/game, 0.1 min. total, 350.0 MB
scarecrow_goal v1 14 games, 9747 moves, e=0.990, loss: nan, +, 72.7% elo% vs. random_bot, avg. reward: -10.132, 0.238 sec/game, 0.1 min. total, 353.6 MB
scarecrow_goal v1 15 games, 10408 moves, e=0.990, loss: 66.7, +, 73.6% elo% vs. random_bot, avg. reward: -10.159, 0.316 sec/game, 0.1 min. total, 379.1 MB
scarecrow_goal v1 16 games, 11136 moves, e=0.989, loss: 45.9, +, 74.6% elo% vs. random_bot, avg. reward: -10.118, 0.415 sec/game, 0.1 min. total, 382.2 MB
scarecrow_goal v1 17 games, 11881 moves, e=0.988, loss: 31.6, +, 75.5% elo% vs. random_bot, avg. reward: -10.074, 0.476 sec/game, 0.1 min. total, 385.7 MB
scarecrow_goal v1 18 games, 12597 moves, e=0.988, loss: 20.4, +, 76.3% elo% vs. random_bot, avg. reward: -10.075, 0.550 sec/game, 0.2 min. total, 388.5 MB
scarecrow_goal v1 19 games, 13311 moves, e=0.987, loss: 14.8, +, 77.1% elo% vs. random_bot, avg. reward: -10.063, 0.598 sec/game, 0.2 min. total, 384.8 MB
scarecrow_goal v1 20 games, 14125 moves, e=0.986, loss: 11.3, +, 77.8% elo% vs. random_bot, avg. reward: -9.946, 0.668 sec/game, 0.2 min. total, 386.9 MB
scarecrow_goal v1 21 games, 14828 moves, e=0.985, loss: 10.9, +, 78.5% elo% vs. random_bot, avg. reward: -9.938, 0.732 sec/game, 0.2 min. total, 388.7 MB
scarecrow_goal v1 22 games, 15582 moves, e=0.985, loss: 10.1, +, 79.2% elo% vs. random_bot, avg. reward: -9.908, 0.804 sec/game, 0.3 min. total, 388.8 MB
scarecrow_goal v1 23 games, 16178 moves, e=0.984, loss: 9.7, +, 79.8% elo% vs. random_bot, avg. reward: -9.985, 0.863 sec/game, 0.3 min. total, 388.9 MB
scarecrow_goal v1 24 games, 16860 moves, e=0.983, loss: 8.6, +, 80.4% elo% vs. random_bot, avg. reward: -9.990, 0.929 sec/game, 0.3 min. total, 388.9 MB
scarecrow_goal v2 25 games, 17609 moves, e=0.983, loss: 8.5, ., 52.2% elo% vs. guard_bot, avg. reward: -9.964, 1.004 sec/game, 0.4 min. total, 448.0 MB
scarecrow_goal v2 26 games, 18371 moves, e=0.982, loss: 8.4, +, 54.4% elo% vs. guard_bot, avg. reward: -9.928, 1.081 sec/game, 0.4 min. total, 449.2 MB
scarecrow_goal v2 27 games, 19023 moves, e=0.981, loss: 7.8, ., 54.2% elo% vs. guard_bot, avg. reward: -9.966, 1.140 sec/game, 0.4 min. total, 449.3 MB
scarecrow_goal v2 28 games, 19606 moves, e=0.981, loss: 7.6, +, 56.3% elo% vs. guard_bot, avg. reward: -10.050, 1.200 sec/game, 0.4 min. total, 452.5 MB
scarecrow_goal v2 29 games, 20223 moves, e=0.980, loss: 7.9, ., 56.0% elo% vs. guard_bot, avg. reward: -10.093, 1.250 sec/game, 0.5 min. total, 454.3 MB
scarecrow_goal v2 30 games, 20923 moves, e=0.979, loss: 7.5, +, 58.0% elo% vs. guard_bot, avg. reward: -10.082, 1.332 sec/game, 0.5 min. total, 457.9 MB
scarecrow_goal v2 31 games, 21639 moves, e=0.979, loss: 7.6, ., 57.6% elo% vs. guard_bot, avg. reward: -10.078, 1.408 sec/game, 0.5 min. total, 457.4 MB
scarecrow_goal v2 32 games, 22281 moves, e=0.978, loss: 7.9, ., 57.3% elo% vs. guard_bot, avg. reward: -10.098, 1.470 sec/game, 0.5 min. total, 457.3 MB
scarecrow_goal v2 33 games, 22931 moves, e=0.977, loss: 8.1, +, 59.2% elo% vs. guard_bot, avg. reward: -10.111, 1.532 sec/game, 0.6 min. total, 457.4 MB
scarecrow_goal v2 34 games, 23759 moves, e=0.976, loss: 8.7, +, 61.0% elo% vs. guard_bot, avg. reward: -10.053, 1.609 sec/game, 0.6 min. total, 456.3 MB
scarecrow_goal v2 35 games, 24443 moves, e=0.976, loss: 8.5, +, 62.7% elo% vs. guard_bot, avg. reward: -10.062, 1.615 sec/game, 0.6 min. total, 454.2 MB
scarecrow_goal v2 36 games, 25087 moves, e=0.975, loss: 7.4, +, 64.3% elo% vs. guard_bot, avg. reward: -10.084, 1.603 sec/game, 0.6 min. total, 456.3 MB
scarecrow_goal v2 37 games, 25739 moves, e=0.975, loss: 7.5, +, 65.8% elo% vs. guard_bot, avg. reward: -10.095, 1.626 sec/game, 0.7 min. total, 456.4 MB
scarecrow_goal v2 38 games, 26455 moves, e=0.974, loss: 7.7, +, 67.2% elo% vs. guard_bot, avg. reward: -10.091, 1.619 sec/game, 0.7 min. total, 457.8 MB
scarecrow_goal v2 39 games, 27121 moves, e=0.973, loss: 7.8, +, 68.5% elo% vs. guard_bot, avg. reward: -10.112, 1.625 sec/game, 0.7 min. total, 458.7 MB
scarecrow_goal v2 40 games, 27775 moves, e=0.973, loss: 8.2, +, 69.7% elo% vs. guard_bot, avg. reward: -10.132, 1.602 sec/game, 0.8 min. total, 455.8 MB
scarecrow_goal v2 41 games, 28548 moves, e=0.972, loss: 7.9, +, 70.9% elo% vs. guard_bot, avg. reward: -10.097, 1.630 sec/game, 0.8 min. total, 460.4 MB
scarecrow_goal v2 42 games, 29266 moves, e=0.971, loss: 8.0, +, 72.0% elo% vs. guard_bot, avg. reward: -10.088, 1.628 sec/game, 0.8 min. total, 461.5 MB
scarecrow_goal v2 43 games, 29995 moves, e=0.970, loss: 7.7, +, 73.0% elo% vs. guard_bot, avg. reward: -10.076, 1.671 sec/game, 0.9 min. total, 460.8 MB
scarecrow_goal v2 44 games, 30610 moves, e=0.970, loss: 7.3, +, 74.0% elo% vs. guard_bot, avg. reward: -10.100, 1.674 sec/game, 0.9 min. total, 461.4 MB
scarecrow_goal v2 45 games, 31407 moves, e=0.969, loss: 7.7, +, 74.9% elo% vs. guard_bot, avg. reward: -10.073, 1.692 sec/game, 0.9 min. total, 461.3 MB
scarecrow_goal v2 46 games, 32186 moves, e=0.968, loss: 7.3, ., 74.0% elo% vs. guard_bot, avg. reward: -10.050, 1.701 sec/game, 1.0 min. total, 463.2 MB
scarecrow_goal v2 47 games, 32958 moves, e=0.967, loss: 7.1, +, 74.9% elo% vs. guard_bot, avg. reward: -10.031, 1.719 sec/game, 1.0 min. total, 463.6 MB
scarecrow_goal v2 48 games, 33743 moves, e=0.967, loss: 6.9, ., 74.1% elo% vs. guard_bot, avg. reward: -10.004, 1.743 sec/game, 1.0 min. total, 463.3 MB
scarecrow_goal v2 49 games, 34390 moves, e=0.966, loss: 7.1, +, 75.0% elo% vs. guard_bot, avg. reward: -10.026, 1.767 sec/game, 1.0 min. total, 463.4 MB
scarecrow_goal v2 50 games, 35192 moves, e=0.965, loss: 7.2, ., 74.1% elo% vs. guard_bot, avg. reward: -10.000, 1.769 sec/game, 1.1 min. total, 464.6 MB
scarecrow_goal v2 51 games, 35940 moves, e=0.964, loss: 7.5, +, 75.0% elo% vs. guard_bot, avg. reward: -9.982, 1.777 sec/game, 1.1 min. total, 463.4 MB
scarecrow_goal v2 52 games, 36705 moves, e=0.964, loss: 7.4, +, 75.9% elo% vs. guard_bot, avg. reward: -9.964, 1.805 sec/game, 1.1 min. total, 465.3 MB
scarecrow_goal v2 53 games, 37376 moves, e=0.963, loss: 7.0, +, 76.7% elo% vs. guard_bot, avg. reward: -9.973, 1.824 sec/game, 1.2 min. total, 463.7 MB
scarecrow_goal v2 54 games, 38002 moves, e=0.962, loss: 6.9, +, 77.4% elo% vs. guard_bot, avg. reward: -9.997, 1.801 sec/game, 1.2 min. total, 465.5 MB
scarecrow_goal v2 55 games, 38707 moves, e=0.962, loss: 6.7, +, 78.1% elo% vs. guard_bot, avg. reward: -9.993, 1.820 sec/game, 1.2 min. total, 465.0 MB
scarecrow_goal v2 56 games, 39350 moves, e=0.961, loss: 6.3, +, 78.8% elo% vs. guard_bot, avg. reward: -10.013, 1.826 sec/game, 1.3 min. total, 464.1 MB
