shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v1 1 games, 659 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.552, 0.223 sec/game, 0.0 min. total, 313.0 MB
shelter_stage v1 2 games, 1340 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.337, 0.220 sec/game, 0.0 min. total, 315.7 MB
shelter_stage v1 3 games, 1984 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.426, 0.227 sec/game, 0.0 min. total, 318.0 MB
shelter_stage v1 4 games, 2751 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.136, 0.232 sec/game, 0.0 min. total, 321.8 MB
shelter_stage v1 5 games, 3413 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.149, 0.231 sec/game, 0.0 min. total, 325.6 MB
shelter_stage v1 6 games, 4032 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.331, 0.226 sec/game, 0.0 min. total, 328.9 MB
shelter_stage v1 7 games, 4652 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.427, 0.224 sec/game, 0.0 min. total, 332.6 MB
shelter_stage v1 8 games, 5330 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.381, 0.225 sec/game, 0.0 min. total, 335.5 MB
shelter_stage v1 9 games, 5974 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.421, 0.223 sec/game, 0.0 min. total, 337.6 MB
shelter_stage v1 10 games, 6669 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.367, 0.220 sec/game, 0.0 min. total, 339.8 MB
shelter_stage v1 11 games, 7335 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -9.347, 0.218 sec/game, 0.0 min. total, 342.0 MB
shelter_stage v1 12 games, 8075 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -9.258, 0.218 sec/game, 0.0 min. total, 345.7 MB
shelter_stage v2 13 games, 8776 moves, e=0.991, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -9.223, 0.218 sec/game, 0.0 min. total, 411.4 MB
shelter_stage v2 14 games, 9508 moves, e=0.991, loss: nan, +, 54.4% elo% vs. guard_bot, avg. reward: -9.168, 0.219 sec/game, 0.1 min. total, 414.9 MB
shelter_stage v2 15 games, 10177 moves, e=0.990, loss: 56.7, +, 56.5% elo% vs. guard_bot, avg. reward: -9.157, 0.253 sec/game, 0.1 min. total, 439.9 MB
shelter_stage v2 16 games, 10865 moves, e=0.989, loss: 43.9, +, 58.4% elo% vs. guard_bot, avg. reward: -9.158, 0.322 sec/game, 0.1 min. total, 445.2 MB
