sinless_impurity v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
sinless_impurity v1 1 games, 821 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 65.028, 0.222 sec/game, 0.0 min. total, 319.0 MB
sinless_impurity v1 2 games, 1570 moves, e=0.998, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 41.067, 0.207 sec/game, 0.0 min. total, 322.2 MB
sinless_impurity v1 3 games, 2175 moves, e=0.998, loss: nan, ., 54.3% elo% vs. random_bot, avg. reward: 40.014, 0.197 sec/game, 0.0 min. total, 324.6 MB
sinless_impurity v1 4 games, 3016 moves, e=0.997, loss: nan, +, 56.4% elo% vs. random_bot, avg. reward: 27.870, 0.202 sec/game, 0.0 min. total, 327.3 MB
sinless_impurity v1 5 games, 3829 moves, e=0.996, loss: nan, +, 58.3% elo% vs. random_bot, avg. reward: 32.892, 0.206 sec/game, 0.0 min. total, 331.3 MB
sinless_impurity v1 6 games, 4513 moves, e=0.996, loss: nan, +, 60.2% elo% vs. random_bot, avg. reward: 32.976, 0.204 sec/game, 0.0 min. total, 334.5 MB
sinless_impurity v1 7 games, 5256 moves, e=0.995, loss: nan, +, 61.9% elo% vs. random_bot, avg. reward: 28.770, 0.203 sec/game, 0.0 min. total, 337.5 MB
sinless_impurity v1 8 games, 6012 moves, e=0.994, loss: nan, +, 63.6% elo% vs. random_bot, avg. reward: 32.316, 0.206 sec/game, 0.0 min. total, 340.3 MB
sinless_impurity v1 9 games, 6680 moves, e=0.993, loss: nan, +, 65.1% elo% vs. random_bot, avg. reward: 27.569, 0.203 sec/game, 0.0 min. total, 343.4 MB
sinless_impurity v1 10 games, 7377 moves, e=0.993, loss: nan, +, 66.6% elo% vs. random_bot, avg. reward: 29.556, 0.203 sec/game, 0.0 min. total, 347.1 MB
sinless_impurity v1 11 games, 8211 moves, e=0.992, loss: nan, +, 67.9% elo% vs. random_bot, avg. reward: 26.096, 0.206 sec/game, 0.0 min. total, 351.1 MB
sinless_impurity v1 12 games, 8883 moves, e=0.991, loss: nan, +, 69.2% elo% vs. random_bot, avg. reward: 26.757, 0.205 sec/game, 0.0 min. total, 354.1 MB
sinless_impurity v1 13 games, 9660 moves, e=0.990, loss: nan, +, 70.4% elo% vs. random_bot, avg. reward: 25.963, 0.207 sec/game, 0.0 min. total, 357.5 MB
sinless_impurity v2 14 games, 10365 moves, e=0.990, loss: 31340.7, +, 54.5% elo% vs. guard_bot, avg. reward: 26.425, 0.258 sec/game, 0.1 min. total, 447.8 MB
sinless_impurity v2 15 games, 11020 moves, e=0.989, loss: 32323.9, ., 54.3% elo% vs. guard_bot, avg. reward: 23.923, 0.359 sec/game, 0.1 min. total, 450.8 MB
sinless_impurity v2 16 games, 11790 moves, e=0.988, loss: 30227.6, ., 54.1% elo% vs. guard_bot, avg. reward: 23.476, 0.449 sec/game, 0.1 min. total, 453.8 MB
sinless_impurity v2 17 games, 12510 moves, e=0.988, loss: 35710.4, ., 53.9% elo% vs. guard_bot, avg. reward: 21.506, 0.508 sec/game, 0.1 min. total, 455.4 MB
sinless_impurity v2 18 games, 13306 moves, e=0.987, loss: 37961.6, ., 53.7% elo% vs. guard_bot, avg. reward: 20.503, 0.575 sec/game, 0.2 min. total, 455.3 MB
sinless_impurity v2 19 games, 14036 moves, e=0.986, loss: 33805.1, +, 55.8% elo% vs. guard_bot, avg. reward: 18.912, 0.640 sec/game, 0.2 min. total, 455.8 MB
sinless_impurity v2 20 games, 14838 moves, e=0.985, loss: 28460.2, ., 55.6% elo% vs. guard_bot, avg. reward: 19.404, 0.694 sec/game, 0.2 min. total, 455.5 MB
sinless_impurity v2 21 games, 15560 moves, e=0.985, loss: 28671.3, ., 55.3% elo% vs. guard_bot, avg. reward: 20.669, 0.768 sec/game, 0.3 min. total, 455.6 MB
sinless_impurity v2 22 games, 16318 moves, e=0.984, loss: 24073.2, ., 55.1% elo% vs. guard_bot, avg. reward: 21.110, 0.844 sec/game, 0.3 min. total, 460.1 MB
sinless_impurity v2 23 games, 16999 moves, e=0.983, loss: 21162.5, +, 57.1% elo% vs. guard_bot, avg. reward: 21.651, 0.907 sec/game, 0.3 min. total, 456.6 MB
sinless_impurity v2 24 games, 17828 moves, e=0.982, loss: 20039.8, +, 59.0% elo% vs. guard_bot, avg. reward: 20.884, 0.994 sec/game, 0.3 min. total, 457.2 MB
sinless_impurity v2 25 games, 18482 moves, e=0.982, loss: 22985.1, +, 60.8% elo% vs. guard_bot, avg. reward: 21.446, 1.054 sec/game, 0.4 min. total, 457.9 MB
sinless_impurity v2 26 games, 19243 moves, e=0.981, loss: 25742.5, +, 62.5% elo% vs. guard_bot, avg. reward: 21.783, 1.132 sec/game, 0.4 min. total, 457.7 MB
sinless_impurity v2 27 games, 19979 moves, e=0.980, loss: 26649.5, +, 64.2% elo% vs. guard_bot, avg. reward: 21.626, 1.207 sec/game, 0.4 min. total, 458.6 MB
sinless_impurity v2 28 games, 20671 moves, e=0.980, loss: 28428.8, +, 65.7% elo% vs. guard_bot, avg. reward: 21.523, 1.270 sec/game, 0.5 min. total, 459.1 MB
sinless_impurity v2 29 games, 21379 moves, e=0.979, loss: 31488.7, +, 67.1% elo% vs. guard_bot, avg. reward: 22.883, 1.348 sec/game, 0.5 min. total, 461.4 MB
sinless_impurity v2 30 games, 22154 moves, e=0.978, loss: 30392.1, +, 68.4% elo% vs. guard_bot, avg. reward: 21.810, 1.425 sec/game, 0.5 min. total, 463.6 MB
sinless_impurity v2 31 games, 22866 moves, e=0.977, loss: 27678.4, +, 69.6% elo% vs. guard_bot, avg. reward: 20.770, 1.489 sec/game, 0.5 min. total, 465.8 MB
sinless_impurity v2 32 games, 23507 moves, e=0.977, loss: 27188.6, +, 70.8% elo% vs. guard_bot, avg. reward: 20.739, 1.554 sec/game, 0.6 min. total, 467.1 MB
sinless_impurity v3 33 games, 24124 moves, e=0.976, loss: 28211.9, -, 49.9% elo% vs. random_no_suicide, avg. reward: 21.234, 1.613 sec/game, 0.6 min. total, 467.7 MB
sinless_impurity v3 34 games, 24913 moves, e=0.975, loss: 31014.3, -, 47.6% elo% vs. random_no_suicide, avg. reward: 21.839, 1.653 sec/game, 0.6 min. total, 468.4 MB
sinless_impurity v3 35 games, 25609 moves, e=0.975, loss: 33493.6, -, 45.4% elo% vs. random_no_suicide, avg. reward: 20.917, 1.648 sec/game, 0.6 min. total, 468.9 MB
sinless_impurity v3 36 games, 26332 moves, e=0.974, loss: 28552.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: 21.605, 1.632 sec/game, 0.7 min. total, 469.2 MB
sinless_impurity v3 37 games, 27126 moves, e=0.973, loss: 32230.5, -, 41.4% elo% vs. random_no_suicide, avg. reward: 20.787, 1.646 sec/game, 0.7 min. total, 469.8 MB
sinless_impurity v3 38 games, 27805 moves, e=0.972, loss: 32032.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: 20.740, 1.644 sec/game, 0.7 min. total, 471.2 MB
sinless_impurity v3 39 games, 28476 moves, e=0.972, loss: 32629.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: 20.691, 1.626 sec/game, 0.7 min. total, 472.5 MB
sinless_impurity v3 40 games, 29286 moves, e=0.971, loss: 28552.8, -, 36.2% elo% vs. random_no_suicide, avg. reward: 21.191, 1.628 sec/game, 0.8 min. total, 475.0 MB
sinless_impurity v3 41 games, 29958 moves, e=0.970, loss: 28618.2, -, 34.7% elo% vs. random_no_suicide, avg. reward: 21.505, 1.627 sec/game, 0.8 min. total, 477.6 MB
sinless_impurity v3 42 games, 30650 moves, e=0.970, loss: 30031.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: 22.124, 1.621 sec/game, 0.8 min. total, 477.0 MB
sinless_impurity v3 43 games, 31385 moves, e=0.969, loss: 29106.1, -, 31.9% elo% vs. random_no_suicide, avg. reward: 21.384, 1.636 sec/game, 0.9 min. total, 477.1 MB
