slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v1 1 games, 718 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.766, 0.200 sec/game, 0.0 min. total, 316.2 MB
slashed_kooky v1 2 games, 1457 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.601, 0.200 sec/game, 0.0 min. total, 318.1 MB
slashed_kooky v1 3 games, 2156 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.757, 0.196 sec/game, 0.0 min. total, 320.0 MB
slashed_kooky v1 4 games, 2942 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.576, 0.198 sec/game, 0.0 min. total, 321.4 MB
slashed_kooky v1 5 games, 3614 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.706, 0.195 sec/game, 0.0 min. total, 323.8 MB
slashed_kooky v1 6 games, 4294 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.876, 0.209 sec/game, 0.0 min. total, 326.0 MB
slashed_kooky v1 7 games, 5039 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.788, 0.208 sec/game, 0.0 min. total, 328.0 MB
slashed_kooky v1 8 games, 5676 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.895, 0.205 sec/game, 0.0 min. total, 329.3 MB
slashed_kooky v1 9 games, 6372 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.882, 0.205 sec/game, 0.0 min. total, 330.4 MB
slashed_kooky v1 10 games, 7039 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.960, 0.204 sec/game, 0.0 min. total, 332.6 MB
slashed_kooky v1 11 games, 7817 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -9.861, 0.207 sec/game, 0.0 min. total, 335.5 MB
