smelting_pointy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.6 MB
smelting_pointy v1 1 games, 701 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 0.193, 0.225 sec/game, 0.0 min. total, 333.5 MB
smelting_pointy v1 2 games, 1367 moves, e=0.999, loss: nan, ., 52.2% elo% vs. v0, avg. reward: 0.186, 0.213 sec/game, 0.0 min. total, 337.8 MB
smelting_pointy v1 3 games, 2078 moves, e=0.998, loss: nan, -, 49.8% elo% vs. v0, avg. reward: 0.156, 0.215 sec/game, 0.0 min. total, 342.5 MB
smelting_pointy v1 4 games, 2754 moves, e=0.997, loss: nan, -, 47.5% elo% vs. v0, avg. reward: 0.149, 0.214 sec/game, 0.0 min. total, 345.9 MB
smelting_pointy v1 5 games, 3491 moves, e=0.997, loss: nan, +, 49.9% elo% vs. v0, avg. reward: 0.135, 0.216 sec/game, 0.0 min. total, 349.8 MB
smelting_pointy v1 6 games, 4149 moves, e=0.996, loss: nan, -, 47.6% elo% vs. v0, avg. reward: 0.147, 0.214 sec/game, 0.0 min. total, 352.6 MB
smelting_pointy v1 7 games, 4910 moves, e=0.995, loss: nan, +, 50.0% elo% vs. v0, avg. reward: 0.150, 0.218 sec/game, 0.0 min. total, 356.4 MB
smelting_pointy v1 8 games, 5612 moves, e=0.994, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 0.140, 0.219 sec/game, 0.0 min. total, 360.4 MB
smelting_pointy v1 9 games, 6370 moves, e=0.994, loss: nan, +, 54.5% elo% vs. v0, avg. reward: 0.152, 0.220 sec/game, 0.0 min. total, 365.1 MB
smelting_pointy v1 10 games, 7059 moves, e=0.993, loss: nan, -, 52.0% elo% vs. v0, avg. reward: 0.142, 0.221 sec/game, 0.0 min. total, 369.0 MB
smelting_pointy v1 11 games, 7769 moves, e=0.992, loss: nan, -, 49.6% elo% vs. v0, avg. reward: 0.138, 0.221 sec/game, 0.0 min. total, 373.2 MB
smelting_pointy v1 12 games, 8412 moves, e=0.992, loss: nan, +, 51.9% elo% vs. v0, avg. reward: 0.134, 0.220 sec/game, 0.0 min. total, 377.7 MB
smelting_pointy v1 13 games, 9078 moves, e=0.991, loss: nan, -, 49.5% elo% vs. v0, avg. reward: 0.133, 0.223 sec/game, 0.0 min. total, 381.5 MB
smelting_pointy v1 14 games, 9789 moves, e=0.990, loss: nan, -, 47.3% elo% vs. v0, avg. reward: 0.126, 0.227 sec/game, 0.1 min. total, 384.9 MB
smelting_pointy v1 15 games, 10388 moves, e=0.990, loss: 0.2, -, 45.1% elo% vs. v0, avg. reward: 0.121, 0.319 sec/game, 0.1 min. total, 408.4 MB
smelting_pointy v1 16 games, 11157 moves, e=0.989, loss: 0.1, +, 47.6% elo% vs. v0, avg. reward: 0.121, 0.433 sec/game, 0.1 min. total, 409.1 MB
smelting_pointy v1 17 games, 11864 moves, e=0.988, loss: 0.1, -, 45.4% elo% vs. v0, avg. reward: 0.123, 0.514 sec/game, 0.1 min. total, 409.7 MB
smelting_pointy v1 18 games, 12560 moves, e=0.988, loss: 0.1, +, 47.9% elo% vs. v0, avg. reward: 0.126, 0.597 sec/game, 0.2 min. total, 410.4 MB
