stack_squall v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
stack_squall v1 1 games, 704 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -4.678, 0.238 sec/game, 0.0 min. total, 315.3 MB
stack_squall v1 2 games, 1394 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -4.993, 0.258 sec/game, 0.0 min. total, 318.0 MB
stack_squall v1 3 games, 2147 moves, e=0.998, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -4.796, 0.249 sec/game, 0.0 min. total, 321.6 MB
stack_squall v1 4 games, 2778 moves, e=0.997, loss: nan, ., 49.9% elo% vs. v0, avg. reward: -5.437, 0.234 sec/game, 0.0 min. total, 324.9 MB
stack_squall v1 5 games, 3513 moves, e=0.997, loss: nan, ., 49.9% elo% vs. v0, avg. reward: -4.963, 0.240 sec/game, 0.0 min. total, 327.9 MB
stack_squall v1 6 games, 4200 moves, e=0.996, loss: nan, -, 47.6% elo% vs. v0, avg. reward: -4.681, 0.233 sec/game, 0.0 min. total, 330.2 MB
stack_squall v1 7 games, 4926 moves, e=0.995, loss: nan, -, 45.4% elo% vs. v0, avg. reward: -4.581, 0.234 sec/game, 0.0 min. total, 334.3 MB
stack_squall v1 8 games, 5687 moves, e=0.994, loss: nan, +, 47.9% elo% vs. v0, avg. reward: -4.039, 0.234 sec/game, 0.0 min. total, 338.2 MB
stack_squall v1 9 games, 6327 moves, e=0.994, loss: nan, +, 50.3% elo% vs. v0, avg. reward: -3.864, 0.230 sec/game, 0.0 min. total, 341.2 MB
stack_squall v1 10 games, 6985 moves, e=0.993, loss: nan, +, 52.6% elo% vs. v0, avg. reward: -3.795, 0.227 sec/game, 0.0 min. total, 344.0 MB
stack_squall v1 11 games, 7631 moves, e=0.992, loss: nan, +, 54.8% elo% vs. v0, avg. reward: -3.970, 0.224 sec/game, 0.0 min. total, 346.4 MB
stack_squall v1 12 games, 8418 moves, e=0.992, loss: nan, -, 52.3% elo% vs. v0, avg. reward: -4.071, 0.227 sec/game, 0.0 min. total, 350.6 MB
stack_squall v1 13 games, 9060 moves, e=0.991, loss: nan, +, 54.5% elo% vs. v0, avg. reward: -4.190, 0.223 sec/game, 0.0 min. total, 354.0 MB
stack_squall v1 14 games, 9717 moves, e=0.990, loss: nan, ., 54.3% elo% vs. v0, avg. reward: -4.062, 0.220 sec/game, 0.1 min. total, 357.1 MB
stack_squall v1 15 games, 10419 moves, e=0.990, loss: 81.6, +, 56.3% elo% vs. v0, avg. reward: -3.736, 0.280 sec/game, 0.1 min. total, 385.2 MB
stack_squall v1 16 games, 11113 moves, e=0.989, loss: 66.5, ., 56.0% elo% vs. v0, avg. reward: -3.797, 0.346 sec/game, 0.1 min. total, 388.3 MB
stack_squall v1 17 games, 11792 moves, e=0.988, loss: 50.0, ., 55.8% elo% vs. v0, avg. reward: -3.893, 0.416 sec/game, 0.1 min. total, 390.9 MB
stack_squall v1 18 games, 12473 moves, e=0.988, loss: 41.4, +, 57.8% elo% vs. v0, avg. reward: -4.082, 0.470 sec/game, 0.1 min. total, 391.4 MB
stack_squall v1 19 games, 13210 moves, e=0.987, loss: 35.9, +, 59.7% elo% vs. v0, avg. reward: -4.094, 0.524 sec/game, 0.2 min. total, 391.7 MB
stack_squall v1 20 games, 13965 moves, e=0.986, loss: 32.7, +, 61.4% elo% vs. v0, avg. reward: -3.661, 0.574 sec/game, 0.2 min. total, 391.9 MB
stack_squall v1 21 games, 14578 moves, e=0.986, loss: 33.0, +, 63.1% elo% vs. v0, avg. reward: -3.887, 0.623 sec/game, 0.2 min. total, 392.1 MB
stack_squall v1 22 games, 15269 moves, e=0.985, loss: 33.3, ., 62.5% elo% vs. v0, avg. reward: -3.757, 0.685 sec/game, 0.2 min. total, 392.1 MB
stack_squall v1 23 games, 16030 moves, e=0.984, loss: 33.2, +, 64.1% elo% vs. v0, avg. reward: -3.748, 0.750 sec/game, 0.3 min. total, 394.4 MB
stack_squall v1 24 games, 16673 moves, e=0.983, loss: 32.5, +, 65.6% elo% vs. v0, avg. reward: -3.875, 0.805 sec/game, 0.3 min. total, 394.7 MB
stack_squall v1 25 games, 17362 moves, e=0.983, loss: 31.5, ., 65.0% elo% vs. v0, avg. reward: -3.918, 0.857 sec/game, 0.3 min. total, 393.4 MB
stack_squall v1 26 games, 18035 moves, e=0.982, loss: 31.7, ., 64.4% elo% vs. v0, avg. reward: -3.743, 0.911 sec/game, 0.3 min. total, 393.8 MB
stack_squall v1 27 games, 18688 moves, e=0.981, loss: 34.3, +, 65.9% elo% vs. v0, avg. reward: -3.652, 0.973 sec/game, 0.4 min. total, 394.6 MB
stack_squall v1 28 games, 19298 moves, e=0.981, loss: 35.6, +, 67.3% elo% vs. v0, avg. reward: -3.759, 1.015 sec/game, 0.4 min. total, 395.8 MB
stack_squall v1 29 games, 19898 moves, e=0.980, loss: 37.2, +, 68.6% elo% vs. v0, avg. reward: -3.830, 1.069 sec/game, 0.4 min. total, 402.0 MB
stack_squall v1 30 games, 20674 moves, e=0.980, loss: 38.5, ., 67.8% elo% vs. v0, avg. reward: -3.724, 1.139 sec/game, 0.4 min. total, 401.5 MB
stack_squall v1 31 games, 21389 moves, e=0.979, loss: 39.1, +, 69.1% elo% vs. v0, avg. reward: -3.740, 1.212 sec/game, 0.4 min. total, 401.2 MB
stack_squall v1 32 games, 22140 moves, e=0.978, loss: 38.3, ., 68.3% elo% vs. v0, avg. reward: -3.716, 1.265 sec/game, 0.5 min. total, 401.4 MB
stack_squall v1 33 games, 22754 moves, e=0.977, loss: 41.0, +, 69.6% elo% vs. v0, avg. reward: -3.834, 1.324 sec/game, 0.5 min. total, 401.8 MB
stack_squall v1 34 games, 23486 moves, e=0.977, loss: 42.4, +, 70.8% elo% vs. v0, avg. reward: -3.804, 1.392 sec/game, 0.5 min. total, 404.0 MB
stack_squall v2 35 games, 24067 moves, e=0.976, loss: 42.1, -, 49.9% elo% vs. v1, avg. reward: -3.823, 1.397 sec/game, 0.5 min. total, 466.3 MB
