stegosaur_undermine v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.1 MB
stegosaur_undermine v1 1 games, 718 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.035, 0.241 sec/game, 0.0 min. total, 318.6 MB
stegosaur_undermine v1 2 games, 1305 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -11.038, 0.207 sec/game, 0.0 min. total, 321.7 MB
stegosaur_undermine v1 3 games, 2080 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -10.538, 0.217 sec/game, 0.0 min. total, 326.4 MB
stegosaur_undermine v1 4 games, 2794 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.375, 0.218 sec/game, 0.0 min. total, 330.6 MB
stegosaur_undermine v1 5 games, 3591 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.081, 0.224 sec/game, 0.0 min. total, 334.5 MB
stegosaur_undermine v1 6 games, 4282 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.162, 0.221 sec/game, 0.0 min. total, 337.5 MB
stegosaur_undermine v1 7 games, 4989 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.175, 0.220 sec/game, 0.0 min. total, 340.6 MB
stegosaur_undermine v1 8 games, 5709 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.134, 0.219 sec/game, 0.0 min. total, 345.3 MB
stegosaur_undermine v1 9 games, 6455 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.070, 0.221 sec/game, 0.0 min. total, 349.3 MB
stegosaur_undermine v1 10 games, 7256 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.940, 0.224 sec/game, 0.0 min. total, 353.1 MB
