stood_palm v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.3 MB
stood_palm v1 1 games, 741 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -2.961, 0.286 sec/game, 0.0 min. total, 318.0 MB
stood_palm v1 2 games, 1499 moves, e=0.999, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -2.892, 0.266 sec/game, 0.0 min. total, 322.6 MB
stood_palm v1 3 games, 2368 moves, e=0.998, loss: nan, -, 45.5% elo% vs. v0, avg. reward: -2.771, 0.260 sec/game, 0.0 min. total, 326.4 MB
stood_palm v1 4 games, 3018 moves, e=0.997, loss: nan, +, 48.0% elo% vs. v0, avg. reward: -2.376, 0.244 sec/game, 0.0 min. total, 330.6 MB
stood_palm v1 5 games, 3623 moves, e=0.996, loss: nan, -, 45.8% elo% vs. v0, avg. reward: -3.203, 0.233 sec/game, 0.0 min. total, 334.3 MB
stood_palm v1 6 games, 4239 moves, e=0.996, loss: nan, +, 48.3% elo% vs. v0, avg. reward: -2.920, 0.225 sec/game, 0.0 min. total, 338.0 MB
stood_palm v1 7 games, 4924 moves, e=0.995, loss: nan, +, 50.7% elo% vs. v0, avg. reward: -2.918, 0.222 sec/game, 0.0 min. total, 341.5 MB
stood_palm v1 8 games, 5649 moves, e=0.994, loss: nan, -, 48.3% elo% vs. v0, avg. reward: -2.690, 0.222 sec/game, 0.0 min. total, 346.0 MB
stood_palm v1 9 games, 6292 moves, e=0.994, loss: nan, +, 50.7% elo% vs. v0, avg. reward: -2.558, 0.220 sec/game, 0.0 min. total, 350.0 MB
stood_palm v1 10 games, 6979 moves, e=0.993, loss: nan, +, 53.0% elo% vs. v0, avg. reward: -2.605, 0.219 sec/game, 0.0 min. total, 353.2 MB
stood_palm v1 11 games, 7730 moves, e=0.992, loss: nan, +, 55.1% elo% vs. v0, avg. reward: -2.524, 0.221 sec/game, 0.0 min. total, 357.6 MB
stood_palm v1 12 games, 8484 moves, e=0.992, loss: nan, -, 52.6% elo% vs. v0, avg. reward: -2.354, 0.222 sec/game, 0.0 min. total, 361.1 MB
stood_palm v1 13 games, 9358 moves, e=0.991, loss: nan, +, 54.8% elo% vs. v0, avg. reward: -2.230, 0.224 sec/game, 0.0 min. total, 364.6 MB
stood_palm v1 14 games, 10036 moves, e=0.990, loss: nan, +, 56.8% elo% vs. v0, avg. reward: -2.230, 0.222 sec/game, 0.1 min. total, 364.8 MB
stood_palm v1 15 games, 10665 moves, e=0.989, loss: 70.7, -, 54.3% elo% vs. v0, avg. reward: -2.407, 0.309 sec/game, 0.1 min. total, 389.6 MB
stood_palm v1 16 games, 11409 moves, e=0.989, loss: 52.6, -, 51.8% elo% vs. v0, avg. reward: -2.101, 0.385 sec/game, 0.1 min. total, 390.5 MB
stood_palm v1 17 games, 12083 moves, e=0.988, loss: 43.5, -, 49.4% elo% vs. v0, avg. reward: -2.221, 0.437 sec/game, 0.1 min. total, 391.2 MB
stood_palm v1 18 games, 12723 moves, e=0.987, loss: 37.1, -, 47.1% elo% vs. v0, avg. reward: -2.208, 0.484 sec/game, 0.1 min. total, 392.1 MB
stood_palm v1 19 games, 13509 moves, e=0.987, loss: 35.2, -, 45.0% elo% vs. v0, avg. reward: -2.106, 0.543 sec/game, 0.2 min. total, 393.1 MB
stood_palm v1 20 games, 14192 moves, e=0.986, loss: 33.2, -, 42.9% elo% vs. v0, avg. reward: -2.004, 0.580 sec/game, 0.2 min. total, 394.7 MB
stood_palm v1 21 games, 14888 moves, e=0.985, loss: 32.3, -, 41.0% elo% vs. v0, avg. reward: -1.972, 0.639 sec/game, 0.2 min. total, 396.6 MB
stood_palm v1 22 games, 15528 moves, e=0.985, loss: 32.1, -, 39.2% elo% vs. v0, avg. reward: -2.005, 0.696 sec/game, 0.2 min. total, 396.7 MB
stood_palm v1 23 games, 16148 moves, e=0.984, loss: 31.9, -, 37.5% elo% vs. v0, avg. reward: -2.170, 0.748 sec/game, 0.3 min. total, 396.6 MB
stood_palm v1 24 games, 16761 moves, e=0.983, loss: 32.1, -, 35.9% elo% vs. v0, avg. reward: -2.112, 0.791 sec/game, 0.3 min. total, 396.6 MB
stood_palm v1 25 games, 17450 moves, e=0.983, loss: 33.2, -, 34.4% elo% vs. v0, avg. reward: -2.133, 0.857 sec/game, 0.3 min. total, 396.5 MB
stood_palm v1 26 games, 18141 moves, e=0.982, loss: 32.5, -, 33.0% elo% vs. v0, avg. reward: -2.228, 0.916 sec/game, 0.3 min. total, 396.6 MB
stood_palm v1 27 games, 18822 moves, e=0.981, loss: 32.9, -, 31.6% elo% vs. v0, avg. reward: -2.216, 1.005 sec/game, 0.4 min. total, 396.6 MB
stood_palm v1 28 games, 19511 moves, e=0.981, loss: 34.1, -, 30.4% elo% vs. v0, avg. reward: -2.218, 1.084 sec/game, 0.4 min. total, 397.3 MB
stood_palm v1 29 games, 20212 moves, e=0.980, loss: 35.3, ., 31.1% elo% vs. v0, avg. reward: -2.057, 1.149 sec/game, 0.4 min. total, 399.9 MB
stood_palm v1 30 games, 20945 moves, e=0.979, loss: 38.8, -, 29.9% elo% vs. v0, avg. reward: -2.072, 1.231 sec/game, 0.4 min. total, 401.5 MB
