streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v1 1 games, 696 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -13.266, 0.234 sec/game, 0.0 min. total, 311.5 MB
streak_dipper v1 2 games, 1460 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -12.685, 0.183 sec/game, 0.0 min. total, 313.0 MB
streak_dipper v1 3 games, 2109 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -13.262, 0.178 sec/game, 0.0 min. total, 315.2 MB
streak_dipper v1 4 games, 2857 moves, e=0.997, loss: nan, -, 54.0% elo% vs. random_bot, avg. reward: -13.071, 0.176 sec/game, 0.0 min. total, 316.8 MB
streak_dipper v1 5 games, 3550 moves, e=0.996, loss: nan, +, 56.1% elo% vs. random_bot, avg. reward: -13.183, 0.204 sec/game, 0.0 min. total, 318.8 MB
streak_dipper v1 6 games, 4235 moves, e=0.996, loss: nan, +, 58.1% elo% vs. random_bot, avg. reward: -13.274, 0.205 sec/game, 0.0 min. total, 320.4 MB
streak_dipper v1 7 games, 4982 moves, e=0.995, loss: nan, +, 59.9% elo% vs. random_bot, avg. reward: -13.198, 0.198 sec/game, 0.0 min. total, 321.8 MB
streak_dipper v1 8 games, 5635 moves, e=0.994, loss: nan, +, 61.7% elo% vs. random_bot, avg. reward: -13.345, 0.198 sec/game, 0.0 min. total, 324.4 MB
streak_dipper v1 9 games, 6219 moves, e=0.994, loss: nan, +, 63.3% elo% vs. random_bot, avg. reward: -13.732, 0.189 sec/game, 0.0 min. total, 326.0 MB
streak_dipper v1 10 games, 6900 moves, e=0.993, loss: nan, +, 64.9% elo% vs. random_bot, avg. reward: -13.754, 0.190 sec/game, 0.0 min. total, 327.7 MB
streak_dipper v1 11 games, 7543 moves, e=0.993, loss: nan, +, 66.4% elo% vs. random_bot, avg. reward: -13.839, 0.185 sec/game, 0.0 min. total, 329.4 MB
streak_dipper v1 12 games, 8339 moves, e=0.992, loss: nan, +, 67.7% elo% vs. random_bot, avg. reward: -13.669, 0.187 sec/game, 0.0 min. total, 330.9 MB
streak_dipper v1 13 games, 8923 moves, e=0.991, loss: nan, +, 69.0% elo% vs. random_bot, avg. reward: -13.892, 0.185 sec/game, 0.0 min. total, 332.3 MB
streak_dipper v1 14 games, 9618 moves, e=0.990, loss: nan, +, 70.2% elo% vs. random_bot, avg. reward: -13.831, 0.192 sec/game, 0.0 min. total, 333.1 MB
streak_dipper v2 15 games, 10384 moves, e=0.990, loss: 117.2, +, 54.5% elo% vs. guard_bot, avg. reward: -13.699, 0.253 sec/game, 0.1 min. total, 412.6 MB
streak_dipper v2 16 games, 11031 moves, e=0.989, loss: 119.7, +, 56.6% elo% vs. guard_bot, avg. reward: -13.778, 0.311 sec/game, 0.1 min. total, 413.9 MB
streak_dipper v2 17 games, 11759 moves, e=0.988, loss: 120.9, +, 58.5% elo% vs. guard_bot, avg. reward: -13.737, 0.361 sec/game, 0.1 min. total, 414.0 MB
