subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v1 1 games, 697 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -10.215, 0.253 sec/game, 0.0 min. total, 316.2 MB
subarctic_cranberry v1 2 games, 1302 moves, e=0.999, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -11.060, 0.236 sec/game, 0.0 min. total, 318.9 MB
subarctic_cranberry v1 3 games, 1987 moves, e=0.998, loss: nan, +, 52.2% elo% vs. v0, avg. reward: -10.791, 0.220 sec/game, 0.0 min. total, 322.3 MB
subarctic_cranberry v1 4 games, 2793 moves, e=0.997, loss: nan, -, 49.8% elo% vs. v0, avg. reward: -10.239, 0.217 sec/game, 0.0 min. total, 325.3 MB
subarctic_cranberry v1 5 games, 3462 moves, e=0.997, loss: nan, ., 49.8% elo% vs. v0, avg. reward: -10.349, 0.211 sec/game, 0.0 min. total, 328.8 MB
subarctic_cranberry v1 6 games, 4196 moves, e=0.996, loss: nan, -, 47.5% elo% vs. v0, avg. reward: -10.200, 0.210 sec/game, 0.0 min. total, 332.4 MB
subarctic_cranberry v1 7 games, 4843 moves, e=0.995, loss: nan, +, 49.9% elo% vs. v0, avg. reward: -10.330, 0.208 sec/game, 0.0 min. total, 334.8 MB
subarctic_cranberry v1 8 games, 5569 moves, e=0.994, loss: nan, +, 52.2% elo% vs. v0, avg. reward: -10.218, 0.211 sec/game, 0.0 min. total, 338.6 MB
subarctic_cranberry v1 9 games, 6454 moves, e=0.994, loss: nan, +, 54.4% elo% vs. v0, avg. reward: -9.971, 0.215 sec/game, 0.0 min. total, 342.4 MB
subarctic_cranberry v1 10 games, 7190 moves, e=0.993, loss: nan, +, 56.5% elo% vs. v0, avg. reward: -9.888, 0.223 sec/game, 0.0 min. total, 344.7 MB
subarctic_cranberry v1 11 games, 7889 moves, e=0.992, loss: nan, -, 53.9% elo% vs. v0, avg. reward: -9.889, 0.223 sec/game, 0.0 min. total, 348.3 MB
subarctic_cranberry v1 12 games, 8708 moves, e=0.991, loss: nan, -, 51.4% elo% vs. v0, avg. reward: -9.763, 0.227 sec/game, 0.0 min. total, 351.8 MB
subarctic_cranberry v1 13 games, 9399 moves, e=0.991, loss: nan, -, 49.1% elo% vs. v0, avg. reward: -9.773, 0.225 sec/game, 0.0 min. total, 355.7 MB
subarctic_cranberry v1 14 games, 10047 moves, e=0.990, loss: nan, +, 51.4% elo% vs. v0, avg. reward: -9.841, 0.226 sec/game, 0.1 min. total, 358.9 MB
subarctic_cranberry v1 15 games, 10658 moves, e=0.989, loss: 52.8, -, 49.1% elo% vs. v0, avg. reward: -9.950, 0.321 sec/game, 0.1 min. total, 386.8 MB
subarctic_cranberry v1 16 games, 11293 moves, e=0.989, loss: 38.0, ., 49.1% elo% vs. v0, avg. reward: -10.033, 0.392 sec/game, 0.1 min. total, 389.4 MB
subarctic_cranberry v1 17 games, 12125 moves, e=0.988, loss: 24.4, +, 51.4% elo% vs. v0, avg. reward: -9.944, 0.466 sec/game, 0.1 min. total, 391.1 MB
subarctic_cranberry v1 18 games, 12820 moves, e=0.987, loss: 16.7, +, 53.7% elo% vs. v0, avg. reward: -9.932, 0.523 sec/game, 0.2 min. total, 391.0 MB
subarctic_cranberry v1 19 games, 13493 moves, e=0.987, loss: 12.3, +, 55.8% elo% vs. v0, avg. reward: -9.969, 0.570 sec/game, 0.2 min. total, 391.6 MB
