subfloor_cuddly v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.2 MB
subfloor_cuddly v1 2 games, 905 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.751, 0.250 sec/game, 0.0 min. total, 316.4 MB
subfloor_cuddly v1 4 games, 1939 moves, e=0.998, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.255, 0.238 sec/game, 0.0 min. total, 321.7 MB
subfloor_cuddly v1 6 games, 2964 moves, e=0.997, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -10.271, 0.239 sec/game, 0.0 min. total, 326.5 MB
subfloor_cuddly v1 8 games, 3955 moves, e=0.996, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.289, 0.243 sec/game, 0.0 min. total, 333.5 MB
subfloor_cuddly v1 10 games, 4976 moves, e=0.995, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.139, 0.244 sec/game, 0.0 min. total, 340.0 MB
subfloor_cuddly v1 12 games, 5986 moves, e=0.994, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.190, 0.244 sec/game, 0.0 min. total, 345.8 MB
subfloor_cuddly v1 14 games, 7072 moves, e=0.993, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.059, 0.246 sec/game, 0.1 min. total, 352.3 MB
subfloor_cuddly v1 16 games, 8042 moves, e=0.992, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.091, 0.247 sec/game, 0.1 min. total, 359.0 MB
subfloor_cuddly v1 18 games, 8972 moves, e=0.991, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.174, 0.251 sec/game, 0.1 min. total, 360.5 MB
subfloor_cuddly v1 20 games, 10012 moves, e=0.990, loss: nan, ., 66.0% elo% vs. random_bot, avg. reward: -10.122, 0.250 sec/game, 0.1 min. total, 361.4 MB
subfloor_cuddly v1 22 games, 11078 moves, e=0.989, loss: nan, ., 65.3% elo% vs. random_bot, avg. reward: -10.096, 0.250 sec/game, 0.1 min. total, 364.0 MB
subfloor_cuddly v1 24 games, 11977 moves, e=0.988, loss: nan, +, 66.8% elo% vs. random_bot, avg. reward: -10.157, 0.251 sec/game, 0.1 min. total, 367.3 MB
subfloor_cuddly v1 26 games, 12934 moves, e=0.987, loss: nan, +, 68.1% elo% vs. random_bot, avg. reward: -10.220, 0.252 sec/game, 0.1 min. total, 370.9 MB
subfloor_cuddly v1 28 games, 14071 moves, e=0.986, loss: nan, +, 69.4% elo% vs. random_bot, avg. reward: -10.146, 0.252 sec/game, 0.1 min. total, 374.7 MB
subfloor_cuddly v1 30 games, 15037 moves, e=0.985, loss: nan, +, 70.6% elo% vs. random_bot, avg. reward: -10.195, 0.252 sec/game, 0.1 min. total, 380.2 MB
subfloor_cuddly v2 32 games, 15993 moves, e=0.984, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -10.268, 0.257 sec/game, 0.1 min. total, 448.0 MB
subfloor_cuddly v2 34 games, 17034 moves, e=0.983, loss: nan, ., 52.1% elo% vs. guard_bot, avg. reward: -10.280, 0.260 sec/game, 0.1 min. total, 448.9 MB
subfloor_cuddly v2 36 games, 18082 moves, e=0.982, loss: nan, ., 52.0% elo% vs. guard_bot, avg. reward: -10.209, 0.262 sec/game, 0.2 min. total, 451.3 MB
subfloor_cuddly v2 38 games, 19082 moves, e=0.981, loss: nan, ., 51.9% elo% vs. guard_bot, avg. reward: -10.217, 0.258 sec/game, 0.2 min. total, 453.8 MB
subfloor_cuddly v2 40 games, 20042 moves, e=0.980, loss: nan, ., 51.8% elo% vs. guard_bot, avg. reward: -10.226, 0.258 sec/game, 0.2 min. total, 456.8 MB
subfloor_cuddly v2 42 games, 21033 moves, e=0.979, loss: nan, ., 51.7% elo% vs. guard_bot, avg. reward: -10.248, 0.257 sec/game, 0.2 min. total, 459.9 MB
subfloor_cuddly v2 44 games, 22031 moves, e=0.978, loss: nan, ., 51.7% elo% vs. guard_bot, avg. reward: -10.242, 0.259 sec/game, 0.2 min. total, 464.5 MB
subfloor_cuddly v2 46 games, 22938 moves, e=0.977, loss: nan, ., 51.6% elo% vs. guard_bot, avg. reward: -10.296, 0.257 sec/game, 0.2 min. total, 470.0 MB
subfloor_cuddly v2 48 games, 23902 moves, e=0.976, loss: nan, ., 51.5% elo% vs. guard_bot, avg. reward: -10.294, 0.255 sec/game, 0.2 min. total, 476.3 MB
subfloor_cuddly v2 50 games, 24935 moves, e=0.975, loss: nan, ., 51.4% elo% vs. guard_bot, avg. reward: -10.278, 0.257 sec/game, 0.2 min. total, 476.8 MB
subfloor_cuddly v2 52 games, 25988 moves, e=0.974, loss: nan, ., 51.4% elo% vs. guard_bot, avg. reward: -10.252, 0.252 sec/game, 0.2 min. total, 478.9 MB
subfloor_cuddly v2 54 games, 27056 moves, e=0.973, loss: nan, ., 51.3% elo% vs. guard_bot, avg. reward: -10.208, 0.251 sec/game, 0.2 min. total, 481.4 MB
subfloor_cuddly v2 56 games, 28100 moves, e=0.972, loss: nan, ., 51.2% elo% vs. guard_bot, avg. reward: -10.206, 0.252 sec/game, 0.2 min. total, 484.0 MB
subfloor_cuddly v2 58 games, 29249 moves, e=0.971, loss: nan, ., 51.2% elo% vs. guard_bot, avg. reward: -10.173, 0.255 sec/game, 0.2 min. total, 488.4 MB
subfloor_cuddly v2 60 games, 30220 moves, e=0.970, loss: nan, ., 51.1% elo% vs. guard_bot, avg. reward: -10.166, 0.255 sec/game, 0.3 min. total, 491.4 MB
subfloor_cuddly v2 62 games, 31201 moves, e=0.969, loss: nan, ., 51.1% elo% vs. guard_bot, avg. reward: -10.182, 0.257 sec/game, 0.3 min. total, 494.7 MB
subfloor_cuddly v2 64 games, 32168 moves, e=0.968, loss: nan, ., 51.0% elo% vs. guard_bot, avg. reward: -10.178, 0.255 sec/game, 0.3 min. total, 500.0 MB
subfloor_cuddly v2 66 games, 33081 moves, e=0.967, loss: nan, ., 51.0% elo% vs. guard_bot, avg. reward: -10.195, 0.261 sec/game, 0.3 min. total, 502.5 MB
subfloor_cuddly v2 68 games, 34080 moves, e=0.966, loss: nan, ., 50.9% elo% vs. guard_bot, avg. reward: -10.210, 0.264 sec/game, 0.3 min. total, 503.6 MB
subfloor_cuddly v2 70 games, 35130 moves, e=0.965, loss: nan, ., 50.9% elo% vs. guard_bot, avg. reward: -10.206, 0.264 sec/game, 0.3 min. total, 506.0 MB
subfloor_cuddly v2 72 games, 36102 moves, e=0.964, loss: nan, ., 50.9% elo% vs. guard_bot, avg. reward: -10.210, 0.264 sec/game, 0.3 min. total, 508.5 MB
subfloor_cuddly v2 74 games, 37170 moves, e=0.963, loss: nan, ., 50.8% elo% vs. guard_bot, avg. reward: -10.184, 0.265 sec/game, 0.3 min. total, 512.2 MB
subfloor_cuddly v2 76 games, 38146 moves, e=0.962, loss: nan, ., 50.8% elo% vs. guard_bot, avg. reward: -10.203, 0.263 sec/game, 0.3 min. total, 515.5 MB
subfloor_cuddly v2 78 games, 39165 moves, e=0.961, loss: nan, ., 50.7% elo% vs. guard_bot, avg. reward: -10.206, 0.262 sec/game, 0.3 min. total, 518.8 MB
subfloor_cuddly v2 80 games, 40233 moves, e=0.960, loss: nan, ., 50.7% elo% vs. guard_bot, avg. reward: -10.184, 0.265 sec/game, 0.3 min. total, 525.0 MB
subfloor_cuddly v2 82 games, 41217 moves, e=0.959, loss: nan, ., 50.7% elo% vs. guard_bot, avg. reward: -10.190, 0.272 sec/game, 0.4 min. total, 528.1 MB
subfloor_cuddly v2 84 games, 42221 moves, e=0.958, loss: nan, ., 50.6% elo% vs. guard_bot, avg. reward: -10.184, 0.274 sec/game, 0.4 min. total, 529.8 MB
subfloor_cuddly v2 86 games, 43334 moves, e=0.957, loss: nan, ., 50.6% elo% vs. guard_bot, avg. reward: -10.161, 0.273 sec/game, 0.4 min. total, 532.0 MB
subfloor_cuddly v2 88 games, 44340 moves, e=0.956, loss: nan, ., 50.6% elo% vs. guard_bot, avg. reward: -10.166, 0.274 sec/game, 0.4 min. total, 534.6 MB
subfloor_cuddly v2 90 games, 45271 moves, e=0.955, loss: nan, ., 50.6% elo% vs. guard_bot, avg. reward: -10.183, 0.273 sec/game, 0.4 min. total, 537.1 MB
subfloor_cuddly v2 92 games, 46228 moves, e=0.954, loss: nan, ., 50.5% elo% vs. guard_bot, avg. reward: -10.197, 0.274 sec/game, 0.4 min. total, 540.2 MB
subfloor_cuddly v2 94 games, 47189 moves, e=0.953, loss: nan, ., 50.5% elo% vs. guard_bot, avg. reward: -10.207, 0.274 sec/game, 0.4 min. total, 543.6 MB
subfloor_cuddly v2 96 games, 48187 moves, e=0.952, loss: nan, ., 50.5% elo% vs. guard_bot, avg. reward: -10.205, 0.276 sec/game, 0.4 min. total, 550.0 MB
subfloor_cuddly v2 98 games, 49287 moves, e=0.951, loss: nan, ., 50.5% elo% vs. guard_bot, avg. reward: -10.189, 0.284 sec/game, 0.4 min. total, 553.7 MB
subfloor_cuddly v2 100 games, 50124 moves, e=0.950, loss: nan, ., 50.4% elo% vs. guard_bot, avg. reward: -10.226, 0.281 sec/game, 0.4 min. total, 554.9 MB
subfloor_cuddly v2 102 games, 51240 moves, e=0.949, loss: nan, ., 50.4% elo% vs. guard_bot, avg. reward: -10.188, 0.280 sec/game, 0.4 min. total, 557.4 MB
subfloor_cuddly v2 104 games, 52189 moves, e=0.948, loss: nan, ., 50.4% elo% vs. guard_bot, avg. reward: -10.195, 0.281 sec/game, 0.5 min. total, 559.8 MB
subfloor_cuddly v2 106 games, 53190 moves, e=0.947, loss: nan, ., 50.4% elo% vs. guard_bot, avg. reward: -10.194, 0.281 sec/game, 0.5 min. total, 562.5 MB
subfloor_cuddly v2 108 games, 54342 moves, e=0.946, loss: nan, ., 50.4% elo% vs. guard_bot, avg. reward: -10.169, 0.285 sec/game, 0.5 min. total, 565.9 MB
subfloor_cuddly v2 110 games, 55445 moves, e=0.945, loss: nan, ., 50.3% elo% vs. guard_bot, avg. reward: -10.163, 0.289 sec/game, 0.5 min. total, 570.3 MB
