subwoofer_thriving v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.7 MB
subwoofer_thriving v1 1 games, 740 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -6.166, 0.197 sec/game, 0.0 min. total, 311.5 MB
subwoofer_thriving v1 2 games, 1344 moves, e=0.999, loss: nan, +, 50.1% elo% vs. random_bot, avg. reward: -6.962, 0.179 sec/game, 0.0 min. total, 313.6 MB
subwoofer_thriving v1 3 games, 2001 moves, e=0.998, loss: nan, +, 52.4% elo% vs. random_bot, avg. reward: -6.960, 0.172 sec/game, 0.0 min. total, 315.2 MB
subwoofer_thriving v1 4 games, 2655 moves, e=0.997, loss: nan, -, 50.0% elo% vs. random_bot, avg. reward: -7.029, 0.169 sec/game, 0.0 min. total, 316.8 MB
subwoofer_thriving v1 5 games, 3389 moves, e=0.997, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -6.918, 0.171 sec/game, 0.0 min. total, 318.6 MB
subwoofer_thriving v1 6 games, 4155 moves, e=0.996, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -6.776, 0.171 sec/game, 0.0 min. total, 320.0 MB
subwoofer_thriving v1 7 games, 4838 moves, e=0.995, loss: nan, -, 52.0% elo% vs. random_bot, avg. reward: -6.781, 0.171 sec/game, 0.0 min. total, 321.1 MB
subwoofer_thriving v1 8 games, 5549 moves, e=0.995, loss: nan, +, 54.2% elo% vs. random_bot, avg. reward: -6.768, 0.169 sec/game, 0.0 min. total, 322.7 MB
subwoofer_thriving v1 9 games, 6298 moves, e=0.994, loss: nan, +, 56.3% elo% vs. random_bot, avg. reward: -6.691, 0.169 sec/game, 0.0 min. total, 323.9 MB
subwoofer_thriving v1 10 games, 6989 moves, e=0.993, loss: nan, +, 58.2% elo% vs. random_bot, avg. reward: -6.668, 0.168 sec/game, 0.0 min. total, 325.1 MB
subwoofer_thriving v1 11 games, 7754 moves, e=0.992, loss: nan, +, 60.1% elo% vs. random_bot, avg. reward: -6.620, 0.170 sec/game, 0.0 min. total, 326.1 MB
subwoofer_thriving v1 12 games, 8386 moves, e=0.992, loss: nan, +, 61.8% elo% vs. random_bot, avg. reward: -6.663, 0.169 sec/game, 0.0 min. total, 327.1 MB
subwoofer_thriving v1 13 games, 9062 moves, e=0.991, loss: nan, +, 63.5% elo% vs. random_bot, avg. reward: -6.687, 0.168 sec/game, 0.0 min. total, 327.7 MB
subwoofer_thriving v1 14 games, 9708 moves, e=0.990, loss: nan, +, 65.0% elo% vs. random_bot, avg. reward: -6.726, 0.168 sec/game, 0.0 min. total, 328.6 MB
subwoofer_thriving v1 15 games, 10407 moves, e=0.990, loss: 35.3, +, 66.5% elo% vs. random_bot, avg. reward: -6.728, 0.216 sec/game, 0.1 min. total, 343.4 MB
subwoofer_thriving v1 16 games, 11132 moves, e=0.989, loss: 33.6, +, 67.8% elo% vs. random_bot, avg. reward: -6.715, 0.261 sec/game, 0.1 min. total, 347.9 MB
subwoofer_thriving v1 17 games, 11855 moves, e=0.988, loss: 31.3, +, 69.1% elo% vs. random_bot, avg. reward: -6.696, 0.314 sec/game, 0.1 min. total, 348.4 MB
subwoofer_thriving v1 18 games, 12498 moves, e=0.988, loss: 26.8, +, 70.3% elo% vs. random_bot, avg. reward: -6.735, 0.349 sec/game, 0.1 min. total, 350.1 MB
subwoofer_thriving v2 19 games, 13166 moves, e=0.987, loss: 21.2, +, 54.5% elo% vs. guard_bot, avg. reward: -6.739, 0.379 sec/game, 0.1 min. total, 418.2 MB
subwoofer_thriving v2 20 games, 13951 moves, e=0.986, loss: 14.8, +, 56.6% elo% vs. guard_bot, avg. reward: -6.702, 0.420 sec/game, 0.1 min. total, 421.2 MB
subwoofer_thriving v2 21 games, 14630 moves, e=0.986, loss: 10.2, +, 58.5% elo% vs. guard_bot, avg. reward: -6.713, 0.473 sec/game, 0.2 min. total, 423.0 MB
subwoofer_thriving v2 22 games, 15384 moves, e=0.985, loss: 7.4, +, 60.4% elo% vs. guard_bot, avg. reward: -6.677, 0.521 sec/game, 0.2 min. total, 420.8 MB
subwoofer_thriving v2 23 games, 16124 moves, e=0.984, loss: 5.8, +, 62.1% elo% vs. guard_bot, avg. reward: -6.656, 0.562 sec/game, 0.2 min. total, 423.1 MB
subwoofer_thriving v2 24 games, 16753 moves, e=0.983, loss: 4.9, +, 63.7% elo% vs. guard_bot, avg. reward: -6.683, 0.600 sec/game, 0.2 min. total, 423.2 MB
subwoofer_thriving v2 25 games, 17508 moves, e=0.983, loss: 4.4, +, 65.2% elo% vs. guard_bot, avg. reward: -6.653, 0.647 sec/game, 0.2 min. total, 423.0 MB
subwoofer_thriving v2 26 games, 18246 moves, e=0.982, loss: 4.1, +, 66.7% elo% vs. guard_bot, avg. reward: -6.633, 0.693 sec/game, 0.2 min. total, 423.2 MB
subwoofer_thriving v2 27 games, 19022 moves, e=0.981, loss: 3.7, +, 68.0% elo% vs. guard_bot, avg. reward: -6.607, 0.739 sec/game, 0.3 min. total, 421.8 MB
subwoofer_thriving v2 28 games, 19656 moves, e=0.981, loss: 3.8, ., 67.3% elo% vs. guard_bot, avg. reward: -6.634, 0.779 sec/game, 0.3 min. total, 423.9 MB
subwoofer_thriving v2 29 games, 20333 moves, e=0.980, loss: 3.5, +, 68.6% elo% vs. guard_bot, avg. reward: -6.643, 0.821 sec/game, 0.3 min. total, 422.6 MB
subwoofer_thriving v2 30 games, 20993 moves, e=0.979, loss: 3.4, ., 67.9% elo% vs. guard_bot, avg. reward: -6.658, 0.869 sec/game, 0.3 min. total, 422.5 MB
