suffix_guts v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.7 MB
suffix_guts v1 1 games, 626 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 52.851, 0.256 sec/game, 0.0 min. total, 313.5 MB
suffix_guts v1 2 games, 1398 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 41.285, 0.253 sec/game, 0.0 min. total, 317.4 MB
suffix_guts v1 3 games, 2170 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 41.831, 0.248 sec/game, 0.0 min. total, 321.1 MB
suffix_guts v1 4 games, 2884 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 42.920, 0.241 sec/game, 0.0 min. total, 324.4 MB
suffix_guts v1 5 games, 3499 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 32.043, 0.232 sec/game, 0.0 min. total, 327.1 MB
suffix_guts v1 6 games, 4109 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 30.211, 0.226 sec/game, 0.0 min. total, 329.5 MB
suffix_guts v1 7 games, 4790 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 32.836, 0.225 sec/game, 0.0 min. total, 332.1 MB
suffix_guts v1 8 games, 5517 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 30.942, 0.227 sec/game, 0.0 min. total, 336.6 MB
suffix_guts v1 9 games, 6253 moves, e=0.994, loss: nan, ., 64.6% elo% vs. random_bot, avg. reward: 26.413, 0.227 sec/game, 0.0 min. total, 341.3 MB
suffix_guts v1 10 games, 6897 moves, e=0.993, loss: nan, +, 66.1% elo% vs. random_bot, avg. reward: 27.339, 0.229 sec/game, 0.0 min. total, 345.1 MB
suffix_guts v1 11 games, 7685 moves, e=0.992, loss: nan, +, 67.5% elo% vs. random_bot, avg. reward: 24.048, 0.231 sec/game, 0.0 min. total, 349.3 MB
suffix_guts v1 12 games, 8305 moves, e=0.992, loss: nan, +, 68.8% elo% vs. random_bot, avg. reward: 25.130, 0.230 sec/game, 0.0 min. total, 352.2 MB
suffix_guts v1 13 games, 9103 moves, e=0.991, loss: nan, +, 70.0% elo% vs. random_bot, avg. reward: 24.433, 0.232 sec/game, 0.1 min. total, 356.0 MB
suffix_guts v1 14 games, 9817 moves, e=0.990, loss: nan, +, 71.1% elo% vs. random_bot, avg. reward: 25.982, 0.232 sec/game, 0.1 min. total, 359.0 MB
suffix_guts v2 15 games, 10563 moves, e=0.990, loss: 47947.3, ., 52.2% elo% vs. guard_bot, avg. reward: 23.632, 0.322 sec/game, 0.1 min. total, 454.1 MB
suffix_guts v2 16 games, 11189 moves, e=0.989, loss: 40835.9, ., 52.1% elo% vs. guard_bot, avg. reward: 25.441, 0.389 sec/game, 0.1 min. total, 457.9 MB
suffix_guts v2 17 games, 11962 moves, e=0.988, loss: 37965.5, ., 52.0% elo% vs. guard_bot, avg. reward: 25.688, 0.463 sec/game, 0.1 min. total, 461.2 MB
suffix_guts v2 18 games, 12674 moves, e=0.987, loss: 36914.9, ., 51.9% elo% vs. guard_bot, avg. reward: 23.711, 0.528 sec/game, 0.2 min. total, 464.3 MB
suffix_guts v2 19 games, 13317 moves, e=0.987, loss: 30925.6, +, 54.1% elo% vs. guard_bot, avg. reward: 24.337, 0.573 sec/game, 0.2 min. total, 464.5 MB
suffix_guts v2 20 games, 14018 moves, e=0.986, loss: 25642.6, ., 53.9% elo% vs. guard_bot, avg. reward: 24.037, 0.616 sec/game, 0.2 min. total, 463.3 MB
suffix_guts v2 21 games, 14709 moves, e=0.985, loss: 26605.5, +, 56.0% elo% vs. guard_bot, avg. reward: 24.479, 0.673 sec/game, 0.2 min. total, 463.4 MB
suffix_guts v2 22 games, 15415 moves, e=0.985, loss: 23565.6, +, 58.0% elo% vs. guard_bot, avg. reward: 22.910, 0.750 sec/game, 0.3 min. total, 463.5 MB
suffix_guts v2 23 games, 16094 moves, e=0.984, loss: 29879.8, +, 59.9% elo% vs. guard_bot, avg. reward: 23.376, 0.807 sec/game, 0.3 min. total, 463.5 MB
suffix_guts v2 24 games, 16880 moves, e=0.983, loss: 30989.9, ., 59.4% elo% vs. guard_bot, avg. reward: 24.155, 0.877 sec/game, 0.3 min. total, 465.6 MB
suffix_guts v2 25 games, 17463 moves, e=0.983, loss: 29903.2, +, 61.2% elo% vs. guard_bot, avg. reward: 22.709, 0.935 sec/game, 0.3 min. total, 465.8 MB
suffix_guts v2 26 games, 18265 moves, e=0.982, loss: 30557.4, ., 60.7% elo% vs. guard_bot, avg. reward: 23.422, 1.008 sec/game, 0.4 min. total, 466.8 MB
suffix_guts v2 27 games, 19088 moves, e=0.981, loss: 31475.0, +, 62.4% elo% vs. guard_bot, avg. reward: 23.133, 1.092 sec/game, 0.4 min. total, 468.4 MB
suffix_guts v2 28 games, 19806 moves, e=0.980, loss: 32775.5, ., 61.9% elo% vs. guard_bot, avg. reward: 23.950, 1.155 sec/game, 0.4 min. total, 468.4 MB
suffix_guts v2 29 games, 20612 moves, e=0.980, loss: 30853.9, ., 61.4% elo% vs. guard_bot, avg. reward: 23.675, 1.239 sec/game, 0.4 min. total, 467.4 MB
suffix_guts v2 30 games, 21465 moves, e=0.979, loss: 30040.1, ., 60.9% elo% vs. guard_bot, avg. reward: 24.179, 1.320 sec/game, 0.5 min. total, 468.9 MB
suffix_guts v2 31 games, 22261 moves, e=0.978, loss: 31462.8, +, 62.6% elo% vs. guard_bot, avg. reward: 24.730, 1.392 sec/game, 0.5 min. total, 471.8 MB
suffix_guts v2 32 games, 23039 moves, e=0.977, loss: 36120.4, ., 62.0% elo% vs. guard_bot, avg. reward: 23.673, 1.465 sec/game, 0.5 min. total, 473.7 MB
suffix_guts v2 33 games, 23629 moves, e=0.977, loss: 30916.2, ., 61.5% elo% vs. guard_bot, avg. reward: 22.583, 1.523 sec/game, 0.6 min. total, 473.9 MB
suffix_guts v2 34 games, 24337 moves, e=0.976, loss: 33745.5, +, 63.2% elo% vs. guard_bot, avg. reward: 22.876, 1.594 sec/game, 0.6 min. total, 476.7 MB
suffix_guts v2 35 games, 24993 moves, e=0.975, loss: 35438.6, +, 64.8% elo% vs. guard_bot, avg. reward: 21.910, 1.585 sec/game, 0.6 min. total, 478.1 MB
suffix_guts v2 36 games, 25850 moves, e=0.974, loss: 34927.4, +, 66.2% elo% vs. guard_bot, avg. reward: 22.699, 1.601 sec/game, 0.6 min. total, 478.5 MB
suffix_guts v2 37 games, 26519 moves, e=0.974, loss: 34869.8, +, 67.6% elo% vs. guard_bot, avg. reward: 21.792, 1.599 sec/game, 0.7 min. total, 477.9 MB
suffix_guts v2 38 games, 27181 moves, e=0.973, loss: 32132.9, +, 68.9% elo% vs. guard_bot, avg. reward: 22.133, 1.588 sec/game, 0.7 min. total, 480.5 MB
suffix_guts v2 39 games, 27837 moves, e=0.972, loss: 33881.0, ., 68.1% elo% vs. guard_bot, avg. reward: 22.463, 1.590 sec/game, 0.7 min. total, 480.2 MB
suffix_guts v2 40 games, 28594 moves, e=0.972, loss: 30146.2, +, 69.4% elo% vs. guard_bot, avg. reward: 22.661, 1.601 sec/game, 0.7 min. total, 480.6 MB
suffix_guts v2 41 games, 29329 moves, e=0.971, loss: 28425.6, +, 70.6% elo% vs. guard_bot, avg. reward: 23.206, 1.615 sec/game, 0.8 min. total, 483.8 MB
suffix_guts v3 42 games, 30100 moves, e=0.970, loss: 27912.9, -, 49.9% elo% vs. random_no_suicide, avg. reward: 23.359, 1.609 sec/game, 0.8 min. total, 487.1 MB
suffix_guts v3 43 games, 30843 moves, e=0.969, loss: 34735.6, -, 47.6% elo% vs. random_no_suicide, avg. reward: 23.534, 1.611 sec/game, 0.8 min. total, 487.3 MB
suffix_guts v3 44 games, 31582 moves, e=0.969, loss: 34927.0, -, 45.4% elo% vs. random_no_suicide, avg. reward: 22.787, 1.614 sec/game, 0.8 min. total, 488.2 MB
suffix_guts v3 45 games, 32308 moves, e=0.968, loss: 36877.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: 22.673, 1.629 sec/game, 0.9 min. total, 491.4 MB
suffix_guts v3 46 games, 32920 moves, e=0.967, loss: 37590.8, -, 41.4% elo% vs. random_no_suicide, avg. reward: 22.637, 1.618 sec/game, 0.9 min. total, 493.5 MB
suffix_guts v3 47 games, 33709 moves, e=0.967, loss: 36580.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 21.969, 1.609 sec/game, 0.9 min. total, 494.7 MB
suffix_guts v3 48 games, 34456 moves, e=0.966, loss: 35041.4, -, 37.8% elo% vs. random_no_suicide, avg. reward: 21.313, 1.617 sec/game, 1.0 min. total, 494.8 MB
suffix_guts v3 49 games, 35199 moves, e=0.965, loss: 30535.8, -, 36.2% elo% vs. random_no_suicide, avg. reward: 20.689, 1.594 sec/game, 1.0 min. total, 494.8 MB
suffix_guts v3 50 games, 35908 moves, e=0.964, loss: 33089.5, -, 34.7% elo% vs. random_no_suicide, avg. reward: 21.495, 1.584 sec/game, 1.0 min. total, 494.9 MB
suffix_guts v3 51 games, 36577 moves, e=0.964, loss: 32883.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: 21.444, 1.573 sec/game, 1.0 min. total, 496.1 MB
suffix_guts v3 52 games, 37284 moves, e=0.963, loss: 30249.0, -, 31.9% elo% vs. random_no_suicide, avg. reward: 21.656, 1.574 sec/game, 1.1 min. total, 496.2 MB
suffix_guts v3 53 games, 38085 moves, e=0.962, loss: 29687.9, -, 30.6% elo% vs. random_no_suicide, avg. reward: 22.027, 1.591 sec/game, 1.1 min. total, 496.1 MB
suffix_guts v3 54 games, 38801 moves, e=0.962, loss: 30433.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: 21.436, 1.591 sec/game, 1.1 min. total, 495.0 MB
suffix_guts v3 55 games, 39506 moves, e=0.961, loss: 26025.1, -, 28.3% elo% vs. random_no_suicide, avg. reward: 21.377, 1.593 sec/game, 1.1 min. total, 495.1 MB
suffix_guts v3 56 games, 40266 moves, e=0.960, loss: 30204.9, -, 27.3% elo% vs. random_no_suicide, avg. reward: 22.007, 1.591 sec/game, 1.2 min. total, 496.4 MB
suffix_guts v3 57 games, 40978 moves, e=0.959, loss: 24979.5, -, 26.3% elo% vs. random_no_suicide, avg. reward: 22.684, 1.595 sec/game, 1.2 min. total, 497.1 MB
suffix_guts v3 58 games, 41674 moves, e=0.959, loss: 28280.0, -, 25.4% elo% vs. random_no_suicide, avg. reward: 22.115, 1.604 sec/game, 1.2 min. total, 498.5 MB
suffix_guts v3 59 games, 42365 moves, e=0.958, loss: 34178.2, -, 24.5% elo% vs. random_no_suicide, avg. reward: 22.304, 1.604 sec/game, 1.2 min. total, 498.5 MB
suffix_guts v3 60 games, 43094 moves, e=0.957, loss: 28745.5, -, 23.7% elo% vs. random_no_suicide, avg. reward: 21.770, 1.606 sec/game, 1.3 min. total, 497.2 MB
suffix_guts v3 61 games, 43760 moves, e=0.957, loss: 31637.9, -, 22.9% elo% vs. random_no_suicide, avg. reward: 21.977, 1.597 sec/game, 1.3 min. total, 497.2 MB
suffix_guts v3 62 games, 44427 moves, e=0.956, loss: 27984.9, -, 22.2% elo% vs. random_no_suicide, avg. reward: 22.413, 1.597 sec/game, 1.3 min. total, 497.3 MB
suffix_guts v3 63 games, 45067 moves, e=0.955, loss: 32224.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: 22.375, 1.597 sec/game, 1.4 min. total, 497.3 MB
suffix_guts v3 64 games, 45817 moves, e=0.955, loss: 32406.6, -, 20.8% elo% vs. random_no_suicide, avg. reward: 21.872, 1.585 sec/game, 1.4 min. total, 498.5 MB
suffix_guts v3 65 games, 46510 moves, e=0.954, loss: 38046.9, -, 20.2% elo% vs. random_no_suicide, avg. reward: 22.268, 1.586 sec/game, 1.4 min. total, 497.5 MB
suffix_guts v3 66 games, 47284 moves, e=0.953, loss: 44983.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 21.787, 1.599 sec/game, 1.4 min. total, 500.0 MB
suffix_guts v3 67 games, 48063 moves, e=0.952, loss: 38348.6, -, 19.0% elo% vs. random_no_suicide, avg. reward: 22.097, 1.597 sec/game, 1.5 min. total, 499.0 MB
suffix_guts v3 68 games, 48864 moves, e=0.952, loss: 38283.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 22.749, 1.600 sec/game, 1.5 min. total, 500.7 MB
suffix_guts v3 69 games, 49609 moves, e=0.951, loss: 39066.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: 23.259, 1.620 sec/game, 1.5 min. total, 501.9 MB
suffix_guts v3 70 games, 50350 moves, e=0.950, loss: 36721.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: 23.563, 1.623 sec/game, 1.5 min. total, 502.0 MB
suffix_guts v3 71 games, 51046 moves, e=0.949, loss: 41541.5, -, 17.0% elo% vs. random_no_suicide, avg. reward: 23.696, 1.624 sec/game, 1.6 min. total, 500.7 MB
suffix_guts v3 72 games, 51885 moves, e=0.949, loss: 43571.3, -, 16.6% elo% vs. random_no_suicide, avg. reward: 23.915, 1.644 sec/game, 1.6 min. total, 502.0 MB
