transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v1 1 games, 687 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.619, 0.211 sec/game, 0.0 min. total, 315.2 MB
transpire_herself v1 2 games, 1440 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.061, 0.214 sec/game, 0.0 min. total, 318.8 MB
transpire_herself v1 3 games, 2014 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -10.866, 0.206 sec/game, 0.0 min. total, 321.9 MB
transpire_herself v1 4 games, 2856 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.215, 0.215 sec/game, 0.0 min. total, 325.6 MB
transpire_herself v1 5 games, 3592 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.988, 0.219 sec/game, 0.0 min. total, 329.4 MB
transpire_herself v1 6 games, 4289 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.985, 0.217 sec/game, 0.0 min. total, 331.9 MB
transpire_herself v1 7 games, 4910 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.197, 0.212 sec/game, 0.0 min. total, 335.0 MB
transpire_herself v1 8 games, 5581 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.243, 0.211 sec/game, 0.0 min. total, 338.3 MB
transpire_herself v1 9 games, 6338 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.100, 0.227 sec/game, 0.0 min. total, 341.3 MB
transpire_herself v1 10 games, 7041 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.072, 0.225 sec/game, 0.0 min. total, 345.4 MB
transpire_herself v1 11 games, 7675 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.198, 0.221 sec/game, 0.0 min. total, 348.0 MB
transpire_herself v1 12 games, 8407 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.119, 0.220 sec/game, 0.0 min. total, 352.6 MB
transpire_herself v2 13 games, 8996 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -10.267, 0.216 sec/game, 0.0 min. total, 415.6 MB
transpire_herself v2 14 games, 9859 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -10.104, 0.216 sec/game, 0.1 min. total, 419.2 MB
transpire_herself v2 15 games, 10577 moves, e=0.990, loss: 60.4, +, 58.5% elo% vs. guard_bot, avg. reward: -10.099, 0.287 sec/game, 0.1 min. total, 446.8 MB
transpire_herself v2 16 games, 11274 moves, e=0.989, loss: 41.7, +, 60.4% elo% vs. guard_bot, avg. reward: -10.091, 0.351 sec/game, 0.1 min. total, 447.8 MB
transpire_herself v2 17 games, 11996 moves, e=0.988, loss: 30.3, +, 62.1% elo% vs. guard_bot, avg. reward: -10.056, 0.398 sec/game, 0.1 min. total, 447.9 MB
transpire_herself v2 18 games, 12779 moves, e=0.987, loss: 20.1, +, 63.7% elo% vs. guard_bot, avg. reward: -9.996, 0.450 sec/game, 0.1 min. total, 448.0 MB
