twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v1 1 games, 631 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 0.038, 0.151 sec/game, 0.0 min. total, 326.1 MB
twistable_tiptoeing v1 2 games, 1272 moves, e=0.999, loss: nan, +, 54.5% elo% vs. v0, avg. reward: 0.241, 0.153 sec/game, 0.0 min. total, 330.8 MB
twistable_tiptoeing v1 3 games, 1942 moves, e=0.998, loss: nan, +, 56.6% elo% vs. v0, avg. reward: 0.347, 0.150 sec/game, 0.0 min. total, 334.2 MB
twistable_tiptoeing v1 4 games, 2615 moves, e=0.997, loss: nan, +, 58.5% elo% vs. v0, avg. reward: 0.441, 0.155 sec/game, 0.0 min. total, 338.9 MB
twistable_tiptoeing v1 5 games, 3296 moves, e=0.997, loss: nan, +, 60.4% elo% vs. v0, avg. reward: 0.371, 0.155 sec/game, 0.0 min. total, 342.6 MB
twistable_tiptoeing v1 6 games, 3937 moves, e=0.996, loss: nan, +, 62.1% elo% vs. v0, avg. reward: 0.400, 0.153 sec/game, 0.0 min. total, 345.9 MB
twistable_tiptoeing v1 7 games, 4625 moves, e=0.995, loss: nan, +, 63.7% elo% vs. v0, avg. reward: 0.387, 0.154 sec/game, 0.0 min. total, 349.8 MB
twistable_tiptoeing v1 8 games, 5408 moves, e=0.995, loss: nan, +, 65.2% elo% vs. v0, avg. reward: 0.400, 0.160 sec/game, 0.0 min. total, 354.0 MB
twistable_tiptoeing v1 9 games, 6163 moves, e=0.994, loss: nan, -, 62.5% elo% vs. v0, avg. reward: 0.446, 0.159 sec/game, 0.0 min. total, 358.4 MB
twistable_tiptoeing v1 10 games, 6880 moves, e=0.993, loss: nan, -, 59.7% elo% vs. v0, avg. reward: 0.417, 0.158 sec/game, 0.0 min. total, 360.9 MB
