unkempt_blade v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 314.1 MB
unkempt_blade v1 1 games, 663 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 26.680, 0.100 sec/game, 0.0 min. total, 314.9 MB
unkempt_blade v1 2 games, 1329 moves, e=0.999, loss: nan, +, 54.5% elo% vs. v0, avg. reward: 41.667, 0.098 sec/game, 0.0 min. total, 317.8 MB
unkempt_blade v1 3 games, 2024 moves, e=0.998, loss: nan, ., 54.3% elo% vs. v0, avg. reward: 31.440, 0.096 sec/game, 0.0 min. total, 321.1 MB
unkempt_blade v1 4 games, 2631 moves, e=0.997, loss: nan, ., 54.1% elo% vs. v0, avg. reward: 22.637, 0.096 sec/game, 0.0 min. total, 322.8 MB
unkempt_blade v1 5 games, 3253 moves, e=0.997, loss: nan, +, 56.2% elo% vs. v0, avg. reward: 33.489, 0.094 sec/game, 0.0 min. total, 324.8 MB
unkempt_blade v1 6 games, 3954 moves, e=0.996, loss: nan, ., 55.9% elo% vs. v0, avg. reward: 27.353, 0.093 sec/game, 0.0 min. total, 327.8 MB
unkempt_blade v1 7 games, 4676 moves, e=0.995, loss: nan, +, 57.9% elo% vs. v0, avg. reward: 34.920, 0.095 sec/game, 0.0 min. total, 330.6 MB
unkempt_blade v1 8 games, 5376 moves, e=0.995, loss: nan, +, 59.8% elo% vs. v0, avg. reward: 35.492, 0.094 sec/game, 0.0 min. total, 333.5 MB
unkempt_blade v1 9 games, 6079 moves, e=0.994, loss: nan, +, 61.5% elo% vs. v0, avg. reward: 35.935, 0.095 sec/game, 0.0 min. total, 335.4 MB
unkempt_blade v1 10 games, 6820 moves, e=0.993, loss: nan, -, 58.8% elo% vs. v0, avg. reward: 34.719, 0.096 sec/game, 0.0 min. total, 336.7 MB
unkempt_blade v1 11 games, 7538 moves, e=0.993, loss: nan, -, 56.2% elo% vs. v0, avg. reward: 33.802, 0.097 sec/game, 0.0 min. total, 338.6 MB
unkempt_blade v1 12 games, 8224 moves, e=0.992, loss: nan, +, 58.2% elo% vs. v0, avg. reward: 35.580, 0.098 sec/game, 0.0 min. total, 340.5 MB
unkempt_blade v1 13 games, 8986 moves, e=0.991, loss: nan, ., 57.8% elo% vs. v0, avg. reward: 36.655, 0.099 sec/game, 0.0 min. total, 343.2 MB
unkempt_blade v1 14 games, 9675 moves, e=0.990, loss: nan, -, 55.2% elo% vs. v0, avg. reward: 36.914, 0.099 sec/game, 0.0 min. total, 346.1 MB
unkempt_blade v1 15 games, 10380 moves, e=0.990, loss: 41927.8, -, 52.6% elo% vs. v0, avg. reward: 38.976, 0.197 sec/game, 0.0 min. total, 365.4 MB
unkempt_blade v1 16 games, 11058 moves, e=0.989, loss: 45217.8, -, 50.2% elo% vs. v0, avg. reward: 38.176, 0.270 sec/game, 0.1 min. total, 365.7 MB
unkempt_blade v1 17 games, 11724 moves, e=0.988, loss: 48050.5, -, 47.9% elo% vs. v0, avg. reward: 39.270, 0.337 sec/game, 0.1 min. total, 366.0 MB
unkempt_blade v1 18 games, 12432 moves, e=0.988, loss: 50127.2, -, 45.7% elo% vs. v0, avg. reward: 36.905, 0.408 sec/game, 0.1 min. total, 366.9 MB
unkempt_blade v1 19 games, 13165 moves, e=0.987, loss: 48111.1, -, 43.6% elo% vs. v0, avg. reward: 36.235, 0.463 sec/game, 0.1 min. total, 367.2 MB
