unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v1 1 games, 625 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.072, 0.204 sec/game, 0.0 min. total, 315.0 MB
unlaced_neglector v1 2 games, 1308 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -2.097, 0.212 sec/game, 0.0 min. total, 317.8 MB
unlaced_neglector v1 3 games, 2049 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -1.838, 0.221 sec/game, 0.0 min. total, 321.5 MB
unlaced_neglector v1 4 games, 2721 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -1.134, 0.225 sec/game, 0.0 min. total, 324.5 MB
unlaced_neglector v1 5 games, 3416 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -0.231, 0.227 sec/game, 0.0 min. total, 327.6 MB
unlaced_neglector v1 6 games, 4068 moves, e=0.996, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -0.067, 0.223 sec/game, 0.0 min. total, 329.9 MB
unlaced_neglector v1 7 games, 4780 moves, e=0.995, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 0.028, 0.222 sec/game, 0.0 min. total, 333.6 MB
unlaced_neglector v1 8 games, 5464 moves, e=0.995, loss: nan, ., 52.2% elo% vs. v0, avg. reward: 0.017, 0.222 sec/game, 0.0 min. total, 337.1 MB
unlaced_neglector v1 9 games, 6117 moves, e=0.994, loss: nan, ., 52.1% elo% vs. v0, avg. reward: -0.215, 0.221 sec/game, 0.0 min. total, 340.1 MB
unlaced_neglector v1 10 games, 6874 moves, e=0.993, loss: nan, ., 52.0% elo% vs. v0, avg. reward: 0.245, 0.222 sec/game, 0.0 min. total, 342.5 MB
unlaced_neglector v1 11 games, 7675 moves, e=0.992, loss: nan, ., 51.9% elo% vs. v0, avg. reward: 0.534, 0.223 sec/game, 0.0 min. total, 346.6 MB
unlaced_neglector v1 12 games, 8475 moves, e=0.992, loss: nan, ., 51.8% elo% vs. v0, avg. reward: 0.534, 0.225 sec/game, 0.0 min. total, 349.8 MB
unlaced_neglector v1 13 games, 9233 moves, e=0.991, loss: nan, +, 54.0% elo% vs. v0, avg. reward: 0.515, 0.226 sec/game, 0.0 min. total, 352.4 MB
unlaced_neglector v1 14 games, 9997 moves, e=0.990, loss: nan, ., 53.8% elo% vs. v0, avg. reward: 0.304, 0.227 sec/game, 0.1 min. total, 356.2 MB
unlaced_neglector v1 15 games, 10736 moves, e=0.989, loss: 67.4, +, 55.9% elo% vs. v0, avg. reward: 0.284, 0.336 sec/game, 0.1 min. total, 384.4 MB
unlaced_neglector v1 16 games, 11510 moves, e=0.989, loss: 54.6, ., 55.7% elo% vs. v0, avg. reward: 0.329, 0.418 sec/game, 0.1 min. total, 387.5 MB
unlaced_neglector v1 17 games, 12267 moves, e=0.988, loss: 46.0, ., 55.4% elo% vs. v0, avg. reward: 0.370, 0.488 sec/game, 0.1 min. total, 390.4 MB
unlaced_neglector v1 18 games, 12959 moves, e=0.987, loss: 41.0, ., 55.2% elo% vs. v0, avg. reward: 0.276, 0.573 sec/game, 0.2 min. total, 391.3 MB
unlaced_neglector v1 19 games, 13567 moves, e=0.987, loss: 39.7, ., 54.9% elo% vs. v0, avg. reward: 0.144, 0.604 sec/game, 0.2 min. total, 391.6 MB
unlaced_neglector v1 20 games, 14307 moves, e=0.986, loss: 40.7, ., 54.7% elo% vs. v0, avg. reward: 0.205, 0.654 sec/game, 0.2 min. total, 391.5 MB
unlaced_neglector v1 21 games, 15065 moves, e=0.985, loss: 42.1, ., 54.5% elo% vs. v0, avg. reward: 0.201, 0.732 sec/game, 0.2 min. total, 391.5 MB
unlaced_neglector v1 22 games, 15723 moves, e=0.984, loss: 41.7, ., 54.3% elo% vs. v0, avg. reward: 0.165, 0.791 sec/game, 0.3 min. total, 391.6 MB
unlaced_neglector v1 23 games, 16385 moves, e=0.984, loss: 44.5, ., 54.1% elo% vs. v0, avg. reward: 0.071, 0.859 sec/game, 0.3 min. total, 391.7 MB
unlaced_neglector v1 24 games, 17093 moves, e=0.983, loss: 46.0, ., 53.9% elo% vs. v0, avg. reward: 0.437, 0.922 sec/game, 0.3 min. total, 391.8 MB
unlaced_neglector v1 25 games, 17822 moves, e=0.982, loss: 45.5, ., 53.7% elo% vs. v0, avg. reward: 0.328, 0.990 sec/game, 0.3 min. total, 391.9 MB
unlaced_neglector v1 26 games, 18504 moves, e=0.982, loss: 47.4, ., 53.6% elo% vs. v0, avg. reward: 0.183, 1.049 sec/game, 0.4 min. total, 392.2 MB
unlaced_neglector v1 27 games, 19190 moves, e=0.981, loss: 49.1, ., 53.4% elo% vs. v0, avg. reward: 0.140, 1.117 sec/game, 0.4 min. total, 391.9 MB
unlaced_neglector v1 28 games, 19930 moves, e=0.980, loss: 54.6, ., 53.2% elo% vs. v0, avg. reward: 0.196, 1.191 sec/game, 0.4 min. total, 392.1 MB
unlaced_neglector v1 29 games, 20523 moves, e=0.980, loss: 56.5, ., 53.1% elo% vs. v0, avg. reward: 0.152, 1.248 sec/game, 0.4 min. total, 392.8 MB
