unlinked_crunching v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unlinked_crunching v1 1 games, 736 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 11.318, 0.315 sec/game, 0.0 min. total, 312.2 MB
unlinked_crunching v1 2 games, 1444 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 11.386, 0.311 sec/game, 0.0 min. total, 314.1 MB
unlinked_crunching v1 3 games, 2226 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 10.858, 0.329 sec/game, 0.0 min. total, 315.5 MB
unlinked_crunching v1 4 games, 2947 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 10.630, 0.325 sec/game, 0.0 min. total, 317.5 MB
unlinked_crunching v1 5 games, 3615 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 10.579, 0.316 sec/game, 0.0 min. total, 319.9 MB
unlinked_crunching v1 6 games, 4461 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 10.606, 0.322 sec/game, 0.0 min. total, 322.2 MB
unlinked_crunching v1 7 games, 5141 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 10.795, 0.317 sec/game, 0.0 min. total, 323.6 MB
unlinked_crunching v1 8 games, 5982 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 10.791, 0.323 sec/game, 0.0 min. total, 325.2 MB
unlinked_crunching v1 9 games, 6640 moves, e=0.993, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 10.907, 0.324 sec/game, 0.0 min. total, 326.8 MB
unlinked_crunching v1 10 games, 7362 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 10.942, 0.343 sec/game, 0.1 min. total, 329.2 MB
unlinked_crunching v1 11 games, 8117 moves, e=0.992, loss: nan, -, 65.2% elo% vs. random_bot, avg. reward: 10.990, 0.342 sec/game, 0.1 min. total, 331.4 MB
unlinked_crunching v1 12 games, 8965 moves, e=0.991, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 11.072, 0.345 sec/game, 0.1 min. total, 333.0 MB
unlinked_crunching v1 13 games, 9804 moves, e=0.990, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 11.096, 0.347 sec/game, 0.1 min. total, 334.2 MB
unlinked_crunching v1 14 games, 10557 moves, e=0.990, loss: 113.0, +, 69.3% elo% vs. random_bot, avg. reward: 11.251, 0.425 sec/game, 0.1 min. total, 351.4 MB
unlinked_crunching v1 15 games, 11313 moves, e=0.989, loss: 120.0, +, 70.5% elo% vs. random_bot, avg. reward: 11.093, 0.495 sec/game, 0.1 min. total, 354.5 MB
unlinked_crunching v2 16 games, 12112 moves, e=0.988, loss: 119.9, ., 52.2% elo% vs. guard_bot, avg. reward: 11.142, 0.558 sec/game, 0.1 min. total, 419.2 MB
unlinked_crunching v2 17 games, 12850 moves, e=0.987, loss: 121.4, ., 52.1% elo% vs. guard_bot, avg. reward: 11.167, 0.610 sec/game, 0.2 min. total, 420.0 MB
unlinked_crunching v2 18 games, 13512 moves, e=0.987, loss: 120.6, ., 52.0% elo% vs. guard_bot, avg. reward: 11.190, 0.648 sec/game, 0.2 min. total, 420.1 MB
unlinked_crunching v2 19 games, 14313 moves, e=0.986, loss: 122.1, ., 51.9% elo% vs. guard_bot, avg. reward: 11.172, 0.693 sec/game, 0.2 min. total, 420.8 MB
unlinked_crunching v2 20 games, 14941 moves, e=0.985, loss: 122.8, ., 51.8% elo% vs. guard_bot, avg. reward: 11.214, 0.719 sec/game, 0.2 min. total, 421.0 MB
unlinked_crunching v2 21 games, 15710 moves, e=0.984, loss: 122.5, ., 51.7% elo% vs. guard_bot, avg. reward: 11.246, 0.778 sec/game, 0.3 min. total, 421.1 MB
unlinked_crunching v2 22 games, 16416 moves, e=0.984, loss: 126.7, ., 51.7% elo% vs. guard_bot, avg. reward: 11.326, 0.835 sec/game, 0.3 min. total, 421.4 MB
