unmanned_overtly v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
unmanned_overtly v1 1 games, 692 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 15.166, 0.301 sec/game, 0.0 min. total, 312.5 MB
unmanned_overtly v1 2 games, 1362 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 11.889, 0.293 sec/game, 0.0 min. total, 314.2 MB
unmanned_overtly v1 3 games, 2183 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 11.651, 0.315 sec/game, 0.0 min. total, 315.8 MB
unmanned_overtly v1 4 games, 3008 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 12.037, 0.321 sec/game, 0.0 min. total, 317.6 MB
unmanned_overtly v1 5 games, 3705 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 12.064, 0.316 sec/game, 0.0 min. total, 319.8 MB
unmanned_overtly v1 6 games, 4455 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 12.130, 0.319 sec/game, 0.0 min. total, 321.8 MB
unmanned_overtly v1 7 games, 5096 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 11.966, 0.313 sec/game, 0.0 min. total, 323.6 MB
unmanned_overtly v1 8 games, 5775 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 11.853, 0.310 sec/game, 0.0 min. total, 325.1 MB
unmanned_overtly v1 9 games, 6436 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 11.653, 0.307 sec/game, 0.0 min. total, 326.9 MB
unmanned_overtly v1 10 games, 7185 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 11.476, 0.309 sec/game, 0.1 min. total, 327.8 MB
unmanned_overtly v1 11 games, 7925 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 11.633, 0.310 sec/game, 0.1 min. total, 329.0 MB
unmanned_overtly v1 12 games, 8775 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 11.744, 0.316 sec/game, 0.1 min. total, 331.8 MB
unmanned_overtly v2 13 games, 9511 moves, e=0.991, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: 11.716, 0.316 sec/game, 0.1 min. total, 396.6 MB
unmanned_overtly v2 14 games, 10157 moves, e=0.990, loss: 136.6, ., 52.1% elo% vs. guard_bot, avg. reward: 11.825, 0.361 sec/game, 0.1 min. total, 413.3 MB
unmanned_overtly v2 15 games, 10940 moves, e=0.989, loss: 130.1, ., 52.0% elo% vs. guard_bot, avg. reward: 11.793, 0.436 sec/game, 0.1 min. total, 417.0 MB
unmanned_overtly v2 16 games, 11748 moves, e=0.988, loss: 129.4, ., 51.9% elo% vs. guard_bot, avg. reward: 11.832, 0.505 sec/game, 0.1 min. total, 419.6 MB
unmanned_overtly v2 17 games, 12576 moves, e=0.988, loss: 128.8, ., 51.8% elo% vs. guard_bot, avg. reward: 11.847, 0.579 sec/game, 0.2 min. total, 421.1 MB
unmanned_overtly v2 18 games, 13236 moves, e=0.987, loss: 128.0, ., 51.7% elo% vs. guard_bot, avg. reward: 11.722, 0.626 sec/game, 0.2 min. total, 423.0 MB
unmanned_overtly v2 19 games, 14040 moves, e=0.986, loss: 129.8, ., 51.7% elo% vs. guard_bot, avg. reward: 11.656, 0.670 sec/game, 0.2 min. total, 422.5 MB
