unpaid_squash v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unpaid_squash v1 1 games, 634 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 2.360, 0.393 sec/game, 0.0 min. total, 313.0 MB
unpaid_squash v1 2 games, 1299 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 5.914, 0.394 sec/game, 0.0 min. total, 315.1 MB
unpaid_squash v1 3 games, 1943 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 7.220, 0.400 sec/game, 0.0 min. total, 317.6 MB
unpaid_squash v1 4 games, 2601 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 7.182, 0.399 sec/game, 0.0 min. total, 317.5 MB
unpaid_squash v1 5 games, 3316 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 6.214, 0.404 sec/game, 0.0 min. total, 319.3 MB
unpaid_squash v1 6 games, 4094 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 5.928, 0.411 sec/game, 0.0 min. total, 322.1 MB
unpaid_squash v1 7 games, 4902 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 7.726, 0.434 sec/game, 0.1 min. total, 323.5 MB
unpaid_squash v1 8 games, 5618 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 6.931, 0.433 sec/game, 0.1 min. total, 326.4 MB
unpaid_squash v1 9 games, 6316 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 6.288, 0.430 sec/game, 0.1 min. total, 328.5 MB
unpaid_squash v1 10 games, 7000 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 6.420, 0.429 sec/game, 0.1 min. total, 331.3 MB
unpaid_squash v1 11 games, 7733 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 5.794, 0.431 sec/game, 0.1 min. total, 333.2 MB
unpaid_squash v1 12 games, 8386 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 5.925, 0.427 sec/game, 0.1 min. total, 336.1 MB
unpaid_squash v2 13 games, 9076 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 8.983, 0.427 sec/game, 0.1 min. total, 400.8 MB
unpaid_squash v2 14 games, 9861 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 8.881, 0.430 sec/game, 0.1 min. total, 402.3 MB
unpaid_squash v2 15 games, 10584 moves, e=0.990, loss: 770.1, +, 58.5% elo% vs. guard_bot, avg. reward: 8.697, 0.514 sec/game, 0.1 min. total, 419.8 MB
unpaid_squash v2 16 games, 11343 moves, e=0.989, loss: 753.3, +, 60.4% elo% vs. guard_bot, avg. reward: 8.534, 0.581 sec/game, 0.2 min. total, 419.9 MB
unpaid_squash v2 17 games, 12102 moves, e=0.988, loss: 737.9, +, 62.1% elo% vs. guard_bot, avg. reward: 9.870, 0.638 sec/game, 0.2 min. total, 420.3 MB
unpaid_squash v2 18 games, 12990 moves, e=0.987, loss: 808.1, +, 63.7% elo% vs. guard_bot, avg. reward: 9.382, 0.711 sec/game, 0.2 min. total, 420.4 MB
unpaid_squash v2 19 games, 13666 moves, e=0.986, loss: 808.9, +, 65.2% elo% vs. guard_bot, avg. reward: 8.857, 0.746 sec/game, 0.2 min. total, 420.4 MB
unpaid_squash v2 20 games, 14341 moves, e=0.986, loss: 804.4, ., 64.6% elo% vs. guard_bot, avg. reward: 8.804, 0.788 sec/game, 0.3 min. total, 420.9 MB
unpaid_squash v2 21 games, 15013 moves, e=0.985, loss: 837.0, ., 64.0% elo% vs. guard_bot, avg. reward: 11.082, 0.837 sec/game, 0.3 min. total, 421.1 MB
unpaid_squash v2 22 games, 15807 moves, e=0.984, loss: 926.6, ., 63.4% elo% vs. guard_bot, avg. reward: 10.459, 0.898 sec/game, 0.3 min. total, 420.5 MB
unpaid_squash v2 23 games, 16554 moves, e=0.984, loss: 973.7, ., 62.8% elo% vs. guard_bot, avg. reward: 10.509, 0.958 sec/game, 0.3 min. total, 421.2 MB
unpaid_squash v2 24 games, 17334 moves, e=0.983, loss: 1018.2, ., 62.3% elo% vs. guard_bot, avg. reward: 10.587, 1.021 sec/game, 0.4 min. total, 421.3 MB
unpaid_squash v2 25 games, 18173 moves, e=0.982, loss: 1053.3, +, 63.9% elo% vs. guard_bot, avg. reward: 10.604, 1.086 sec/game, 0.4 min. total, 421.8 MB
unpaid_squash v2 26 games, 18930 moves, e=0.981, loss: 1103.5, +, 65.4% elo% vs. guard_bot, avg. reward: 10.817, 1.149 sec/game, 0.4 min. total, 421.6 MB
unpaid_squash v2 27 games, 19628 moves, e=0.981, loss: 1064.6, +, 66.8% elo% vs. guard_bot, avg. reward: 10.645, 1.199 sec/game, 0.5 min. total, 424.4 MB
unpaid_squash v2 28 games, 20451 moves, e=0.980, loss: 1038.0, ., 66.1% elo% vs. guard_bot, avg. reward: 10.412, 1.259 sec/game, 0.5 min. total, 426.4 MB
