untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v1 1 games, 716 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: 52.781, 0.120 sec/game, 0.0 min. total, 311.4 MB
untrimmed_irate v1 2 games, 1405 moves, e=0.999, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: 39.223, 0.112 sec/game, 0.0 min. total, 313.3 MB
untrimmed_irate v1 3 games, 2085 moves, e=0.998, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: 25.048, 0.120 sec/game, 0.0 min. total, 314.4 MB
untrimmed_irate v1 4 games, 2866 moves, e=0.997, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: 24.466, 0.120 sec/game, 0.0 min. total, 316.6 MB
untrimmed_irate v1 5 games, 3483 moves, e=0.997, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: 25.299, 0.117 sec/game, 0.0 min. total, 318.2 MB
untrimmed_irate v1 6 games, 4243 moves, e=0.996, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: 27.166, 0.117 sec/game, 0.0 min. total, 319.9 MB
untrimmed_irate v1 7 games, 4914 moves, e=0.995, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: 29.193, 0.118 sec/game, 0.0 min. total, 321.5 MB
untrimmed_irate v1 8 games, 5587 moves, e=0.994, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: 25.133, 0.117 sec/game, 0.0 min. total, 322.9 MB
untrimmed_irate v1 9 games, 6286 moves, e=0.994, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: 28.362, 0.117 sec/game, 0.0 min. total, 324.5 MB
untrimmed_irate v1 10 games, 6926 moves, e=0.993, loss: nan, -, 32.0% elo% vs. random_bot, avg. reward: 25.156, 0.117 sec/game, 0.0 min. total, 325.5 MB
untrimmed_irate v1 11 games, 7608 moves, e=0.992, loss: nan, -, 30.7% elo% vs. random_bot, avg. reward: 22.567, 0.117 sec/game, 0.0 min. total, 327.0 MB
untrimmed_irate v1 12 games, 8329 moves, e=0.992, loss: nan, -, 29.5% elo% vs. random_bot, avg. reward: 25.043, 0.117 sec/game, 0.0 min. total, 328.5 MB
