utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v1 1 games, 745 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.821, 0.235 sec/game, 0.0 min. total, 311.5 MB
utmost_conform v1 2 games, 1377 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.613, 0.212 sec/game, 0.0 min. total, 313.9 MB
utmost_conform v1 3 games, 2069 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -10.449, 0.216 sec/game, 0.0 min. total, 316.7 MB
utmost_conform v1 4 games, 2647 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.976, 0.206 sec/game, 0.0 min. total, 319.1 MB
utmost_conform v1 5 games, 3421 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.526, 0.211 sec/game, 0.0 min. total, 321.7 MB
utmost_conform v1 6 games, 4189 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.303, 0.214 sec/game, 0.0 min. total, 324.4 MB
utmost_conform v1 7 games, 4993 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.063, 0.217 sec/game, 0.0 min. total, 327.8 MB
utmost_conform v1 8 games, 5619 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.221, 0.213 sec/game, 0.0 min. total, 331.3 MB
utmost_conform v1 9 games, 6370 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.111, 0.214 sec/game, 0.0 min. total, 335.1 MB
utmost_conform v1 10 games, 7076 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.104, 0.214 sec/game, 0.0 min. total, 338.5 MB
utmost_conform v1 11 games, 7860 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.000, 0.216 sec/game, 0.0 min. total, 341.7 MB
utmost_conform v1 12 games, 8687 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -9.848, 0.219 sec/game, 0.0 min. total, 345.1 MB
utmost_conform v1 13 games, 9426 moves, e=0.991, loss: nan, +, 71.6% elo% vs. random_bot, avg. reward: -9.835, 0.219 sec/game, 0.0 min. total, 347.5 MB
utmost_conform v1 14 games, 10158 moves, e=0.990, loss: 64.6, +, 72.7% elo% vs. random_bot, avg. reward: -9.814, 0.260 sec/game, 0.1 min. total, 376.1 MB
utmost_conform v1 15 games, 10866 moves, e=0.989, loss: 53.0, +, 73.6% elo% vs. random_bot, avg. reward: -9.836, 0.342 sec/game, 0.1 min. total, 379.4 MB
utmost_conform v1 16 games, 11601 moves, e=0.989, loss: 34.0, +, 74.6% elo% vs. random_bot, avg. reward: -9.809, 0.431 sec/game, 0.1 min. total, 380.7 MB
utmost_conform v1 17 games, 12349 moves, e=0.988, loss: 21.9, +, 75.5% elo% vs. random_bot, avg. reward: -9.775, 0.511 sec/game, 0.1 min. total, 384.5 MB
utmost_conform v2 18 games, 13116 moves, e=0.987, loss: 15.1, +, 54.5% elo% vs. guard_bot, avg. reward: -9.733, 0.573 sec/game, 0.2 min. total, 445.8 MB
utmost_conform v2 19 games, 13770 moves, e=0.986, loss: 12.1, +, 56.6% elo% vs. guard_bot, avg. reward: -9.789, 0.617 sec/game, 0.2 min. total, 447.9 MB
utmost_conform v2 20 games, 14492 moves, e=0.986, loss: 10.0, +, 58.5% elo% vs. guard_bot, avg. reward: -9.800, 0.676 sec/game, 0.2 min. total, 448.0 MB
utmost_conform v2 21 games, 15206 moves, e=0.985, loss: 9.3, +, 60.4% elo% vs. guard_bot, avg. reward: -9.816, 0.734 sec/game, 0.2 min. total, 449.2 MB
utmost_conform v2 22 games, 15972 moves, e=0.984, loss: 8.8, +, 62.1% elo% vs. guard_bot, avg. reward: -9.789, 0.807 sec/game, 0.3 min. total, 449.4 MB
utmost_conform v2 23 games, 16790 moves, e=0.983, loss: 7.8, +, 63.7% elo% vs. guard_bot, avg. reward: -9.726, 0.890 sec/game, 0.3 min. total, 449.5 MB
utmost_conform v2 24 games, 17482 moves, e=0.983, loss: 7.8, +, 65.2% elo% vs. guard_bot, avg. reward: -9.754, 0.950 sec/game, 0.3 min. total, 449.6 MB
utmost_conform v2 25 games, 18120 moves, e=0.982, loss: 8.2, +, 66.7% elo% vs. guard_bot, avg. reward: -9.812, 1.006 sec/game, 0.4 min. total, 448.6 MB
utmost_conform v2 26 games, 18942 moves, e=0.981, loss: 7.2, +, 68.0% elo% vs. guard_bot, avg. reward: -9.748, 1.076 sec/game, 0.4 min. total, 450.0 MB
utmost_conform v2 27 games, 19739 moves, e=0.980, loss: 8.1, +, 69.3% elo% vs. guard_bot, avg. reward: -9.711, 1.159 sec/game, 0.4 min. total, 450.5 MB
utmost_conform v2 28 games, 20393 moves, e=0.980, loss: 8.1, +, 70.5% elo% vs. guard_bot, avg. reward: -9.750, 1.220 sec/game, 0.4 min. total, 451.8 MB
utmost_conform v2 29 games, 21169 moves, e=0.979, loss: 8.1, +, 71.6% elo% vs. guard_bot, avg. reward: -9.726, 1.290 sec/game, 0.5 min. total, 453.6 MB
utmost_conform v2 30 games, 21773 moves, e=0.978, loss: 8.5, +, 72.7% elo% vs. guard_bot, avg. reward: -9.797, 1.348 sec/game, 0.5 min. total, 454.1 MB
utmost_conform v2 31 games, 22478 moves, e=0.978, loss: 8.9, ., 71.8% elo% vs. guard_bot, avg. reward: -9.797, 1.406 sec/game, 0.5 min. total, 455.8 MB
utmost_conform v2 32 games, 23206 moves, e=0.977, loss: 9.1, ., 71.0% elo% vs. guard_bot, avg. reward: -9.798, 1.480 sec/game, 0.5 min. total, 458.6 MB
utmost_conform v2 33 games, 23958 moves, e=0.976, loss: 8.7, +, 72.1% elo% vs. guard_bot, avg. reward: -9.765, 1.550 sec/game, 0.6 min. total, 459.8 MB
utmost_conform v2 34 games, 24767 moves, e=0.975, loss: 8.0, +, 73.1% elo% vs. guard_bot, avg. reward: -9.730, 1.596 sec/game, 0.6 min. total, 459.8 MB
utmost_conform v2 35 games, 25485 moves, e=0.975, loss: 8.0, +, 74.1% elo% vs. guard_bot, avg. reward: -9.735, 1.603 sec/game, 0.6 min. total, 460.3 MB
utmost_conform v2 36 games, 26186 moves, e=0.974, loss: 8.4, +, 75.0% elo% vs. guard_bot, avg. reward: -9.741, 1.584 sec/game, 0.6 min. total, 461.6 MB
utmost_conform v2 37 games, 26884 moves, e=0.973, loss: 8.0, +, 75.8% elo% vs. guard_bot, avg. reward: -9.745, 1.581 sec/game, 0.7 min. total, 461.3 MB
utmost_conform v3 38 games, 27662 moves, e=0.973, loss: 7.5, +, 52.3% elo% vs. random_no_suicide, avg. reward: -9.716, 1.582 sec/game, 0.7 min. total, 459.1 MB
utmost_conform v3 39 games, 28368 moves, e=0.972, loss: 7.4, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.738, 1.584 sec/game, 0.7 min. total, 462.9 MB
utmost_conform v3 40 games, 29116 moves, e=0.971, loss: 7.9, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.723, 1.576 sec/game, 0.8 min. total, 463.4 MB
utmost_conform v3 41 games, 29836 moves, e=0.970, loss: 7.4, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.720, 1.587 sec/game, 0.8 min. total, 465.3 MB
utmost_conform v3 42 games, 30569 moves, e=0.970, loss: 7.6, +, 47.9% elo% vs. random_no_suicide, avg. reward: -9.705, 1.575 sec/game, 0.8 min. total, 466.8 MB
utmost_conform v3 43 games, 31300 moves, e=0.969, loss: 7.7, -, 45.7% elo% vs. random_no_suicide, avg. reward: -9.701, 1.562 sec/game, 0.8 min. total, 466.9 MB
utmost_conform v3 44 games, 31881 moves, e=0.968, loss: 7.6, -, 43.6% elo% vs. random_no_suicide, avg. reward: -9.758, 1.562 sec/game, 0.9 min. total, 469.9 MB
utmost_conform v3 45 games, 32643 moves, e=0.968, loss: 7.3, -, 41.7% elo% vs. random_no_suicide, avg. reward: -9.749, 1.577 sec/game, 0.9 min. total, 468.6 MB
utmost_conform v3 46 games, 33333 moves, e=0.967, loss: 6.9, +, 44.3% elo% vs. random_no_suicide, avg. reward: -9.761, 1.565 sec/game, 0.9 min. total, 466.7 MB
