viper_dwindle v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.5 MB
viper_dwindle v1 1 games, 634 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -7.208, 0.184 sec/game, 0.0 min. total, 313.3 MB
viper_dwindle v1 2 games, 1309 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -7.146, 0.183 sec/game, 0.0 min. total, 316.1 MB
viper_dwindle v1 3 games, 2061 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -6.887, 0.187 sec/game, 0.0 min. total, 319.0 MB
viper_dwindle v1 4 games, 2718 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -6.888, 0.184 sec/game, 0.0 min. total, 321.8 MB
viper_dwindle v1 5 games, 3320 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -7.131, 0.179 sec/game, 0.0 min. total, 323.9 MB
viper_dwindle v1 6 games, 3965 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -7.171, 0.180 sec/game, 0.0 min. total, 326.5 MB
viper_dwindle v1 7 games, 4643 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -7.158, 0.181 sec/game, 0.0 min. total, 329.1 MB
viper_dwindle v1 8 games, 5361 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -7.091, 0.182 sec/game, 0.0 min. total, 330.9 MB
viper_dwindle v1 9 games, 6068 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -7.058, 0.184 sec/game, 0.0 min. total, 333.8 MB
viper_dwindle v1 10 games, 6777 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -7.012, 0.185 sec/game, 0.0 min. total, 336.2 MB
viper_dwindle v1 11 games, 7433 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -7.027, 0.183 sec/game, 0.0 min. total, 338.4 MB
viper_dwindle v1 12 games, 8080 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -7.042, 0.182 sec/game, 0.0 min. total, 340.5 MB
viper_dwindle v2 13 games, 8707 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -7.081, 0.180 sec/game, 0.0 min. total, 398.0 MB
viper_dwindle v2 14 games, 9410 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -7.047, 0.179 sec/game, 0.0 min. total, 398.1 MB
viper_dwindle v2 15 games, 10161 moves, e=0.990, loss: 34.8, +, 58.5% elo% vs. guard_bot, avg. reward: -7.000, 0.207 sec/game, 0.1 min. total, 409.3 MB
viper_dwindle v2 16 games, 10941 moves, e=0.989, loss: 33.7, +, 60.4% elo% vs. guard_bot, avg. reward: -6.935, 0.268 sec/game, 0.1 min. total, 412.1 MB
viper_dwindle v2 17 games, 11653 moves, e=0.988, loss: 29.6, +, 62.1% elo% vs. guard_bot, avg. reward: -6.922, 0.315 sec/game, 0.1 min. total, 414.1 MB
viper_dwindle v2 18 games, 12415 moves, e=0.988, loss: 24.8, +, 63.7% elo% vs. guard_bot, avg. reward: -6.888, 0.351 sec/game, 0.1 min. total, 412.9 MB
viper_dwindle v2 19 games, 13132 moves, e=0.987, loss: 17.4, +, 65.2% elo% vs. guard_bot, avg. reward: -6.870, 0.396 sec/game, 0.1 min. total, 413.5 MB
viper_dwindle v2 20 games, 13797 moves, e=0.986, loss: 12.0, +, 66.7% elo% vs. guard_bot, avg. reward: -6.876, 0.423 sec/game, 0.1 min. total, 416.3 MB
viper_dwindle v2 21 games, 14656 moves, e=0.985, loss: 6.9, ., 66.0% elo% vs. guard_bot, avg. reward: -6.817, 0.479 sec/game, 0.2 min. total, 415.8 MB
viper_dwindle v2 22 games, 15321 moves, e=0.985, loss: 4.7, +, 67.4% elo% vs. guard_bot, avg. reward: -6.834, 0.516 sec/game, 0.2 min. total, 417.7 MB
viper_dwindle v2 23 games, 16076 moves, e=0.984, loss: 3.3, +, 68.7% elo% vs. guard_bot, avg. reward: -6.807, 0.563 sec/game, 0.2 min. total, 419.8 MB
viper_dwindle v2 24 games, 16847 moves, e=0.983, loss: 2.5, +, 69.9% elo% vs. guard_bot, avg. reward: -6.782, 0.611 sec/game, 0.2 min. total, 419.8 MB
viper_dwindle v2 25 games, 17670 moves, e=0.983, loss: 2.2, +, 71.1% elo% vs. guard_bot, avg. reward: -6.737, 0.668 sec/game, 0.2 min. total, 420.4 MB
viper_dwindle v3 26 games, 18448 moves, e=0.982, loss: 2.0, -, 49.9% elo% vs. random_no_suicide, avg. reward: -6.718, 0.713 sec/game, 0.3 min. total, 421.0 MB
viper_dwindle v3 27 games, 19258 moves, e=0.981, loss: 1.8, +, 52.2% elo% vs. random_no_suicide, avg. reward: -6.682, 0.761 sec/game, 0.3 min. total, 421.6 MB
viper_dwindle v3 28 games, 20055 moves, e=0.980, loss: 1.8, -, 49.8% elo% vs. random_no_suicide, avg. reward: -6.653, 0.809 sec/game, 0.3 min. total, 423.8 MB
viper_dwindle v3 29 games, 21017 moves, e=0.979, loss: 1.8, -, 47.5% elo% vs. random_no_suicide, avg. reward: -6.589, 0.873 sec/game, 0.3 min. total, 425.6 MB
viper_dwindle v3 30 games, 21840 moves, e=0.978, loss: 1.7, -, 45.3% elo% vs. random_no_suicide, avg. reward: -6.564, 0.920 sec/game, 0.3 min. total, 428.3 MB
viper_dwindle v3 31 games, 22587 moves, e=0.978, loss: 1.6, +, 47.8% elo% vs. random_no_suicide, avg. reward: -6.558, 0.969 sec/game, 0.4 min. total, 428.7 MB
viper_dwindle v3 32 games, 23286 moves, e=0.977, loss: 1.6, ., 47.9% elo% vs. random_no_suicide, avg. reward: -6.565, 1.008 sec/game, 0.4 min. total, 429.6 MB
viper_dwindle v3 33 games, 24088 moves, e=0.976, loss: 1.5, +, 50.3% elo% vs. random_no_suicide, avg. reward: -6.546, 1.065 sec/game, 0.4 min. total, 429.6 MB
viper_dwindle v3 34 games, 24804 moves, e=0.975, loss: 1.3, +, 52.6% elo% vs. random_no_suicide, avg. reward: -6.547, 1.104 sec/game, 0.4 min. total, 428.7 MB
viper_dwindle v3 35 games, 25505 moves, e=0.975, loss: 1.3, +, 54.8% elo% vs. random_no_suicide, avg. reward: -6.551, 1.129 sec/game, 0.4 min. total, 431.5 MB
viper_dwindle v3 36 games, 26260 moves, e=0.974, loss: 1.4, -, 52.3% elo% vs. random_no_suicide, avg. reward: -6.545, 1.127 sec/game, 0.4 min. total, 430.6 MB
viper_dwindle v3 37 games, 26831 moves, e=0.973, loss: 1.5, +, 54.5% elo% vs. random_no_suicide, avg. reward: -6.589, 1.112 sec/game, 0.5 min. total, 431.5 MB
viper_dwindle v3 38 games, 27490 moves, e=0.973, loss: 1.4, +, 56.5% elo% vs. random_no_suicide, avg. reward: -6.606, 1.111 sec/game, 0.5 min. total, 429.9 MB
viper_dwindle v3 39 games, 28146 moves, e=0.972, loss: 1.4, +, 58.5% elo% vs. random_no_suicide, avg. reward: -6.626, 1.098 sec/game, 0.5 min. total, 430.0 MB
viper_dwindle v3 40 games, 28782 moves, e=0.972, loss: 1.4, +, 60.3% elo% vs. random_no_suicide, avg. reward: -6.648, 1.098 sec/game, 0.5 min. total, 429.9 MB
viper_dwindle v3 41 games, 29510 moves, e=0.971, loss: 1.4, +, 62.1% elo% vs. random_no_suicide, avg. reward: -6.647, 1.088 sec/game, 0.5 min. total, 432.4 MB
viper_dwindle v3 42 games, 30240 moves, e=0.970, loss: 1.2, +, 63.7% elo% vs. random_no_suicide, avg. reward: -6.640, 1.101 sec/game, 0.5 min. total, 432.6 MB
viper_dwindle v3 43 games, 30861 moves, e=0.969, loss: 1.3, +, 65.2% elo% vs. random_no_suicide, avg. reward: -6.667, 1.091 sec/game, 0.6 min. total, 432.2 MB
