wasp_emote v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
wasp_emote v1 2 games, 971 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -11.196, 0.181 sec/game, 0.0 min. total, 314.7 MB
wasp_emote v1 4 games, 2039 moves, e=0.998, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.544, 0.177 sec/game, 0.0 min. total, 319.9 MB
wasp_emote v1 6 games, 3112 moves, e=0.997, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -10.331, 0.177 sec/game, 0.0 min. total, 325.3 MB
wasp_emote v1 8 games, 4193 moves, e=0.996, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.239, 0.178 sec/game, 0.0 min. total, 330.5 MB
wasp_emote v1 10 games, 5282 moves, e=0.995, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.155, 0.178 sec/game, 0.0 min. total, 335.6 MB
wasp_emote v1 12 games, 6493 moves, e=0.994, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.918, 0.180 sec/game, 0.0 min. total, 340.3 MB
wasp_emote v1 14 games, 7525 moves, e=0.993, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.999, 0.181 sec/game, 0.0 min. total, 344.1 MB
wasp_emote v1 16 games, 8556 moves, e=0.992, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.964, 0.182 sec/game, 0.0 min. total, 348.1 MB
wasp_emote v1 18 games, 9517 moves, e=0.991, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.078, 0.181 sec/game, 0.1 min. total, 352.3 MB
wasp_emote v1 20 games, 10660 moves, e=0.989, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.019, 0.183 sec/game, 0.1 min. total, 357.0 MB
wasp_emote v1 22 games, 11912 moves, e=0.988, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -9.858, 0.187 sec/game, 0.1 min. total, 362.2 MB
wasp_emote v1 24 games, 12880 moves, e=0.987, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -9.961, 0.187 sec/game, 0.1 min. total, 365.9 MB
wasp_emote v2 26 games, 13875 moves, e=0.986, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -10.027, 0.184 sec/game, 0.1 min. total, 434.1 MB
wasp_emote v2 28 games, 15002 moves, e=0.985, loss: nan, ., 52.1% elo% vs. guard_bot, avg. reward: -10.004, 0.183 sec/game, 0.1 min. total, 440.5 MB
wasp_emote v2 30 games, 16059 moves, e=0.984, loss: nan, ., 52.0% elo% vs. guard_bot, avg. reward: -9.995, 0.183 sec/game, 0.1 min. total, 446.3 MB
wasp_emote v2 32 games, 17175 moves, e=0.983, loss: nan, ., 51.9% elo% vs. guard_bot, avg. reward: -9.962, 0.181 sec/game, 0.1 min. total, 451.3 MB
wasp_emote v2 34 games, 18225 moves, e=0.982, loss: nan, ., 51.8% elo% vs. guard_bot, avg. reward: -9.982, 0.178 sec/game, 0.1 min. total, 455.6 MB
wasp_emote v2 36 games, 19217 moves, e=0.981, loss: nan, ., 51.7% elo% vs. guard_bot, avg. reward: -10.029, 0.176 sec/game, 0.1 min. total, 460.2 MB
wasp_emote v2 38 games, 20208 moves, e=0.980, loss: nan, ., 51.7% elo% vs. guard_bot, avg. reward: -10.069, 0.174 sec/game, 0.1 min. total, 460.2 MB
wasp_emote v2 40 games, 21198 moves, e=0.979, loss: nan, ., 51.6% elo% vs. guard_bot, avg. reward: -10.085, 0.171 sec/game, 0.1 min. total, 461.7 MB
wasp_emote v2 42 games, 22231 moves, e=0.978, loss: nan, ., 51.5% elo% vs. guard_bot, avg. reward: -10.090, 0.167 sec/game, 0.1 min. total, 462.9 MB
wasp_emote v2 44 games, 23297 moves, e=0.977, loss: nan, ., 51.4% elo% vs. guard_bot, avg. reward: -10.092, 0.168 sec/game, 0.1 min. total, 465.2 MB
wasp_emote v2 46 games, 24293 moves, e=0.976, loss: nan, +, 53.7% elo% vs. guard_bot, avg. reward: -10.102, 0.170 sec/game, 0.1 min. total, 467.7 MB
wasp_emote v2 48 games, 25398 moves, e=0.975, loss: nan, ., 53.5% elo% vs. guard_bot, avg. reward: -10.077, 3.617 sec/game, 1.3 min. total, 470.9 MB
wasp_emote v2 50 games, 26433 moves, e=0.974, loss: nan, ., 53.3% elo% vs. guard_bot, avg. reward: -10.083, 3.643 sec/game, 1.3 min. total, 473.6 MB
wasp_emote v2 52 games, 27497 moves, e=0.973, loss: nan, +, 55.5% elo% vs. guard_bot, avg. reward: -10.085, 3.648 sec/game, 1.3 min. total, 476.8 MB
wasp_emote v2 54 games, 28541 moves, e=0.972, loss: nan, ., 55.2% elo% vs. guard_bot, avg. reward: -10.102, 3.658 sec/game, 1.3 min. total, 481.1 MB
wasp_emote v2 56 games, 29514 moves, e=0.971, loss: nan, ., 55.0% elo% vs. guard_bot, avg. reward: -10.168, 3.668 sec/game, 1.3 min. total, 484.9 MB
wasp_emote v2 58 games, 30585 moves, e=0.970, loss: nan, ., 54.8% elo% vs. guard_bot, avg. reward: -10.164, 3.671 sec/game, 1.3 min. total, 489.7 MB
wasp_emote v2 60 games, 31750 moves, e=0.969, loss: nan, ., 54.5% elo% vs. guard_bot, avg. reward: -10.108, 3.675 sec/game, 1.3 min. total, 494.1 MB
wasp_emote v2 62 games, 32862 moves, e=0.967, loss: nan, ., 54.3% elo% vs. guard_bot, avg. reward: -10.087, 3.677 sec/game, 1.3 min. total, 500.1 MB
wasp_emote v2 64 games, 34064 moves, e=0.966, loss: nan, ., 54.1% elo% vs. guard_bot, avg. reward: -10.046, 3.679 sec/game, 1.4 min. total, 506.0 MB
wasp_emote v2 66 games, 35089 moves, e=0.965, loss: nan, +, 56.2% elo% vs. guard_bot, avg. reward: -10.066, 3.681 sec/game, 1.4 min. total, 510.0 MB
wasp_emote v2 68 games, 36183 moves, e=0.964, loss: nan, ., 55.9% elo% vs. guard_bot, avg. reward: -10.050, 0.238 sec/game, 1.4 min. total, 515.8 MB
wasp_emote v2 70 games, 37286 moves, e=0.963, loss: nan, ., 55.7% elo% vs. guard_bot, avg. reward: -10.040, 0.214 sec/game, 1.4 min. total, 521.2 MB
wasp_emote v2 72 games, 38367 moves, e=0.962, loss: nan, +, 57.7% elo% vs. guard_bot, avg. reward: -10.022, 0.798 sec/game, 1.6 min. total, 521.8 MB
wasp_emote v2 74 games, 39488 moves, e=0.961, loss: nan, +, 59.6% elo% vs. guard_bot, avg. reward: -10.002, 1.362 sec/game, 1.8 min. total, 523.5 MB
