wiring_happiest v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
wiring_happiest v1 1 games, 686 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -8.783, 0.279 sec/game, 0.0 min. total, 313.7 MB
wiring_happiest v1 2 games, 1346 moves, e=0.999, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -9.147, 0.250 sec/game, 0.0 min. total, 316.6 MB
wiring_happiest v1 3 games, 2051 moves, e=0.998, loss: nan, ., 45.7% elo% vs. random_bot, avg. reward: -8.837, 0.251 sec/game, 0.0 min. total, 318.7 MB
wiring_happiest v1 4 games, 2864 moves, e=0.997, loss: nan, -, 43.6% elo% vs. random_bot, avg. reward: -8.434, 0.270 sec/game, 0.0 min. total, 322.4 MB
wiring_happiest v1 5 games, 3631 moves, e=0.996, loss: nan, -, 41.7% elo% vs. random_bot, avg. reward: -8.292, 0.296 sec/game, 0.0 min. total, 325.1 MB
wiring_happiest v1 6 games, 4275 moves, e=0.996, loss: nan, -, 39.8% elo% vs. random_bot, avg. reward: -8.486, 0.283 sec/game, 0.0 min. total, 327.5 MB
wiring_happiest v1 7 games, 4847 moves, e=0.995, loss: nan, -, 38.1% elo% vs. random_bot, avg. reward: -8.799, 0.269 sec/game, 0.0 min. total, 329.7 MB
wiring_happiest v1 8 games, 5631 moves, e=0.994, loss: nan, -, 36.4% elo% vs. random_bot, avg. reward: -8.625, 0.264 sec/game, 0.0 min. total, 332.8 MB
wiring_happiest v1 9 games, 6393 moves, e=0.994, loss: nan, -, 34.9% elo% vs. random_bot, avg. reward: -8.536, 0.261 sec/game, 0.0 min. total, 335.7 MB
wiring_happiest v1 10 games, 7285 moves, e=0.993, loss: nan, ., 35.5% elo% vs. random_bot, avg. reward: -8.365, 0.261 sec/game, 0.0 min. total, 339.0 MB
wiring_happiest v1 11 games, 7931 moves, e=0.992, loss: nan, -, 34.0% elo% vs. random_bot, avg. reward: -8.477, 0.256 sec/game, 0.0 min. total, 341.1 MB
wiring_happiest v1 12 games, 8586 moves, e=0.991, loss: nan, -, 32.7% elo% vs. random_bot, avg. reward: -8.535, 0.252 sec/game, 0.1 min. total, 343.7 MB
wiring_happiest v1 13 games, 9327 moves, e=0.991, loss: nan, -, 31.3% elo% vs. random_bot, avg. reward: -8.475, 0.251 sec/game, 0.1 min. total, 346.0 MB
wiring_happiest v1 14 games, 9933 moves, e=0.990, loss: nan, -, 30.1% elo% vs. random_bot, avg. reward: -8.575, 0.255 sec/game, 0.1 min. total, 348.0 MB
wiring_happiest v1 15 games, 10599 moves, e=0.990, loss: 45.7, +, 32.9% elo% vs. random_bot, avg. reward: -8.584, 0.326 sec/game, 0.1 min. total, 368.9 MB
wiring_happiest v1 16 games, 11358 moves, e=0.989, loss: 30.9, +, 35.7% elo% vs. random_bot, avg. reward: -8.542, 0.397 sec/game, 0.1 min. total, 372.6 MB
wiring_happiest v1 17 games, 12199 moves, e=0.988, loss: 18.6, +, 38.4% elo% vs. random_bot, avg. reward: -8.461, 0.476 sec/game, 0.1 min. total, 380.1 MB
wiring_happiest v1 18 games, 12947 moves, e=0.987, loss: 12.5, +, 41.2% elo% vs. random_bot, avg. reward: -8.418, 0.531 sec/game, 0.2 min. total, 379.3 MB
wiring_happiest v1 19 games, 13596 moves, e=0.987, loss: 9.5, +, 43.8% elo% vs. random_bot, avg. reward: -8.481, 0.568 sec/game, 0.2 min. total, 381.4 MB
wiring_happiest v1 20 games, 14320 moves, e=0.986, loss: 8.1, +, 46.4% elo% vs. random_bot, avg. reward: -8.465, 0.605 sec/game, 0.2 min. total, 383.7 MB
wiring_happiest v1 21 games, 15061 moves, e=0.985, loss: 7.0, +, 48.8% elo% vs. random_bot, avg. reward: -8.439, 0.672 sec/game, 0.2 min. total, 383.9 MB
wiring_happiest v1 22 games, 15771 moves, e=0.984, loss: 6.3, +, 51.2% elo% vs. random_bot, avg. reward: -8.453, 0.739 sec/game, 0.3 min. total, 384.5 MB
