zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v1 1 games, 638 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 678.512, 0.398 sec/game, 0.0 min. total, 311.8 MB
zoology_jogging v1 2 games, 1442 moves, e=0.999, loss: nan, -, 49.9% elo% vs. random_bot, avg. reward: 716.163, 0.438 sec/game, 0.0 min. total, 314.1 MB
zoology_jogging v1 3 games, 2202 moves, e=0.998, loss: nan, +, 52.2% elo% vs. random_bot, avg. reward: 846.524, 0.446 sec/game, 0.0 min. total, 315.7 MB
zoology_jogging v1 4 games, 2923 moves, e=0.997, loss: nan, +, 54.4% elo% vs. random_bot, avg. reward: 1008.537, 0.442 sec/game, 0.0 min. total, 317.4 MB
zoology_jogging v1 5 games, 3703 moves, e=0.996, loss: nan, -, 51.9% elo% vs. random_bot, avg. reward: 1106.283, 0.451 sec/game, 0.0 min. total, 318.7 MB
zoology_jogging v1 6 games, 4422 moves, e=0.996, loss: nan, +, 54.1% elo% vs. random_bot, avg. reward: 966.703, 0.446 sec/game, 0.0 min. total, 320.1 MB
zoology_jogging v1 7 games, 5208 moves, e=0.995, loss: nan, +, 56.2% elo% vs. random_bot, avg. reward: 1004.718, 0.446 sec/game, 0.1 min. total, 321.6 MB
zoology_jogging v1 8 games, 5993 moves, e=0.994, loss: nan, +, 58.2% elo% vs. random_bot, avg. reward: 1239.619, 0.448 sec/game, 0.1 min. total, 322.9 MB
zoology_jogging v1 9 games, 6523 moves, e=0.994, loss: nan, -, 55.5% elo% vs. random_bot, avg. reward: 1234.663, 0.434 sec/game, 0.1 min. total, 323.5 MB
zoology_jogging v1 10 games, 7222 moves, e=0.993, loss: nan, +, 57.6% elo% vs. random_bot, avg. reward: 1225.130, 0.433 sec/game, 0.1 min. total, 324.5 MB
zoology_jogging v1 11 games, 7835 moves, e=0.992, loss: nan, +, 59.5% elo% vs. random_bot, avg. reward: 1273.749, 0.429 sec/game, 0.1 min. total, 325.5 MB
zoology_jogging v1 12 games, 8531 moves, e=0.992, loss: nan, +, 61.2% elo% vs. random_bot, avg. reward: 1271.596, 0.429 sec/game, 0.1 min. total, 326.4 MB
zoology_jogging v1 13 games, 9105 moves, e=0.991, loss: nan, +, 62.9% elo% vs. random_bot, avg. reward: 1207.378, 0.424 sec/game, 0.1 min. total, 327.6 MB
zoology_jogging v1 14 games, 9767 moves, e=0.990, loss: nan, +, 64.5% elo% vs. random_bot, avg. reward: 1153.126, 0.422 sec/game, 0.1 min. total, 329.1 MB
zoology_jogging v1 15 games, 10536 moves, e=0.990, loss: 5669279.5, +, 66.0% elo% vs. random_bot, avg. reward: 1158.799, 0.498 sec/game, 0.1 min. total, 345.6 MB
zoology_jogging v1 16 games, 11309 moves, e=0.989, loss: 5938164.1, +, 67.4% elo% vs. random_bot, avg. reward: 1153.162, 0.573 sec/game, 0.2 min. total, 348.1 MB
zoology_jogging v1 17 games, 12069 moves, e=0.988, loss: 6159244.0, +, 68.7% elo% vs. random_bot, avg. reward: 1108.673, 0.639 sec/game, 0.2 min. total, 349.5 MB
